run_id,entity_key,window_id,model_name,forecast_date,horizon_day,original_forecast_value,adjusted_forecast_value,was_clipped,created_timestamp
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-03,1,2428.601522,2428.601522,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-04,2,2430.285784,2430.285784,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-05,3,2431.9700459999995,2431.9700459999995,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-06,4,2433.654307999999,2433.654307999999,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-07,5,2435.338569999999,2435.338569999999,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-08,6,2437.0228319999987,2437.0228319999987,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-09,7,2438.7070939999985,2438.7070939999985,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-10,8,2440.3913559999983,2440.3913559999983,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-11,9,2442.075617999998,2442.075617999998,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-12,10,2443.759879999998,2443.759879999998,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-13,11,2445.4441419999976,2445.4441419999976,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-14,12,2447.1284039999973,2447.1284039999973,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-15,13,2448.812665999997,2448.812665999997,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-16,14,2450.496927999997,2450.496927999997,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-17,15,2452.1811899999966,2452.1811899999966,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-18,16,2453.8654519999964,2453.8654519999964,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-19,17,2455.549713999996,2455.549713999996,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-20,18,2457.233975999996,2457.233975999996,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-21,19,2458.918237999996,2458.918237999996,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-22,20,2460.6024999999954,2460.6024999999954,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-23,21,2462.286761999995,2462.286761999995,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-24,22,2463.971023999995,2463.971023999995,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-25,23,2465.6552859999947,2465.6552859999947,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-26,24,2467.3395479999945,2467.3395479999945,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-27,25,2469.0238099999942,2469.0238099999942,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-28,26,2470.708071999994,2470.708071999994,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-29,27,2472.3923339999938,2472.3923339999938,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-30,28,2474.076595999993,2474.076595999993,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-05-31,29,2475.7608579999933,2475.7608579999933,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ARIMA_Fixed,2025-06-01,30,2477.445119999993,2477.445119999993,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-03,1,2429.006645520248,2429.006645520248,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-04,2,2430.9708125148054,2430.9708125148054,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-05,3,2432.934979509362,2432.934979509362,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-06,4,2434.899146503919,2434.899146503919,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-07,5,2436.863313498476,2436.863313498476,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-08,6,2438.827480493033,2438.827480493033,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-09,7,2440.79164748759,2440.79164748759,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-10,8,2442.755814482147,2442.755814482147,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-11,9,2444.719981476704,2444.719981476704,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-12,10,2446.684148471261,2446.684148471261,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-13,11,2448.6483154658176,2448.6483154658176,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-14,12,2450.6124824603744,2450.6124824603744,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-15,13,2452.576649454932,2452.576649454932,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-16,14,2454.5408164494884,2454.5408164494884,False,2026-06-12T14:41:57
non_negative_policy_20260612_144157,APC-Dedicated,1,ETS_Current,2025-05-17,15,2456.504983444045,2456.504983444045,False,2026-06-12T14:41:57
