case_id,model_name,forecast_start_date,rows,runtime_seconds,status
P02,ARIMA_Fixed,2026-04-20,30,0.0005,PASS
P02,AutoARIMA,2026-04-20,30,1.0852,PASS
P02,ETS Explicit,2026-04-20,30,0.0205,PASS
P02,ETS_Current,2026-04-20,30,0.0008,PASS
P02,FNAR-V2,2026-04-20,30,0.1501,PASS
P02,FixedGrowth_1_5,2026-04-20,30,0.0007,PASS
P02,FixedGrowth_3,2026-04-20,30,0.0006,PASS
P02,FixedGrowth_4,2026-04-20,30,0.0003,PASS
P02,FixedGrowth_6,2026-04-20,30,0.0008,PASS
P02,LightGBM,2026-04-20,30,0.0703,PASS
P02,LinearRegression,2026-04-20,30,0.0019,PASS
P02,NLIN-DLIN_FIXED,2026-04-20,30,0.0018,PASS
P02,SMLP-TCN,2026-04-20,30,0.0004,PASS
P02,Theta,2026-04-20,30,0.0203,PASS
P02,XGBoost,2026-04-20,30,0.094,PASS
P02,ARIMA_Fixed,2026-05-20,30,0.0012,PASS
P02,AutoARIMA,2026-05-20,30,0.1001,PASS
P02,ETS Explicit,2026-05-20,30,0.0199,PASS
P02,ETS_Current,2026-05-20,30,0.0009,PASS
P02,FNAR-V2,2026-05-20,30,0.1454,PASS
P02,FixedGrowth_1_5,2026-05-20,30,0.0009,PASS
P02,FixedGrowth_3,2026-05-20,30,0.0005,PASS
P02,FixedGrowth_4,2026-05-20,30,0.0005,PASS
P02,FixedGrowth_6,2026-05-20,30,0.0005,PASS
P02,LightGBM,2026-05-20,30,0.0258,PASS
P02,LinearRegression,2026-05-20,30,0.0015,PASS
P02,NLIN-DLIN_FIXED,2026-05-20,30,0.0016,PASS
P02,SMLP-TCN,2026-05-20,30,0.0008,PASS
P02,Theta,2026-05-20,30,0.0146,PASS
P02,XGBoost,2026-05-20,30,0.0589,PASS
P02,ARIMA_Fixed,2026-06-19,30,0.0008,PASS
P02,AutoARIMA,2026-06-19,30,0.0745,PASS
P02,ETS Explicit,2026-06-19,30,0.0145,PASS
P02,ETS_Current,2026-06-19,30,0.0006,PASS
P02,FNAR-V2,2026-06-19,30,0.1806,PASS
P02,FixedGrowth_1_5,2026-06-19,30,0.0004,PASS
P02,FixedGrowth_3,2026-06-19,30,0.0003,PASS
P02,FixedGrowth_4,2026-06-19,30,0.0003,PASS
P02,FixedGrowth_6,2026-06-19,30,0.0003,PASS
P02,LightGBM,2026-06-19,30,0.0257,PASS
P02,LinearRegression,2026-06-19,30,0.0017,PASS
P02,NLIN-DLIN_FIXED,2026-06-19,30,0.0014,PASS
P02,SMLP-TCN,2026-06-19,30,0.0004,PASS
P02,Theta,2026-06-19,30,0.0162,PASS
P02,XGBoost,2026-06-19,30,0.0706,PASS
P03,ARIMA_Fixed,2026-04-19,30,0.0007,PASS
P03,AutoARIMA,2026-04-19,30,0.0509,PASS
P03,ETS Explicit,2026-04-19,30,0.0424,PASS
P03,ETS_Current,2026-04-19,30,0.002,PASS
P03,FNAR-V2,2026-04-19,30,0.0166,PASS
P03,FixedGrowth_1_5,2026-04-19,30,0.001,PASS
P03,FixedGrowth_3,2026-04-19,30,0.0007,PASS
P03,FixedGrowth_4,2026-04-19,30,0.0006,PASS
P03,FixedGrowth_6,2026-04-19,30,0.0006,PASS
P03,LightGBM,2026-04-19,30,0.0238,PASS
P03,LinearRegression,2026-04-19,30,0.0014,PASS
P03,NLIN-DLIN_FIXED,2026-04-19,30,0.0016,PASS
P03,SMLP-TCN,2026-04-19,30,0.0007,PASS
P03,Theta,2026-04-19,30,0.1186,PASS
P03,XGBoost,2026-04-19,30,0.0209,PASS
P03,ARIMA_Fixed,2026-05-19,30,0.0008,PASS
P03,AutoARIMA,2026-05-19,30,0.0199,PASS
P03,ETS Explicit,2026-05-19,30,0.0167,PASS
P03,ETS_Current,2026-05-19,30,0.0012,PASS
P03,FNAR-V2,2026-05-19,30,0.0097,PASS
P03,FixedGrowth_1_5,2026-05-19,30,0.0007,PASS
P03,FixedGrowth_3,2026-05-19,30,0.0005,PASS
P03,FixedGrowth_4,2026-05-19,30,0.0005,PASS
P03,FixedGrowth_6,2026-05-19,30,0.0005,PASS
P03,LightGBM,2026-05-19,30,0.0151,PASS
P03,LinearRegression,2026-05-19,30,0.0015,PASS
P03,NLIN-DLIN_FIXED,2026-05-19,30,0.0016,PASS
P03,SMLP-TCN,2026-05-19,30,0.0007,PASS
P03,Theta,2026-05-19,30,0.0236,PASS
P03,XGBoost,2026-05-19,30,0.0195,PASS
P03,ARIMA_Fixed,2026-06-18,30,0.0007,PASS
P03,AutoARIMA,2026-06-18,30,0.0332,PASS
P03,ETS Explicit,2026-06-18,30,0.0239,PASS
P03,ETS_Current,2026-06-18,30,0.0017,PASS
P03,FNAR-V2,2026-06-18,30,0.0123,PASS
P03,FixedGrowth_1_5,2026-06-18,30,0.0007,PASS
P03,FixedGrowth_3,2026-06-18,30,0.0004,PASS
P03,FixedGrowth_4,2026-06-18,30,0.0013,PASS
P03,FixedGrowth_6,2026-06-18,30,0.0006,PASS
P03,LightGBM,2026-06-18,30,0.0149,PASS
P03,LinearRegression,2026-06-18,30,0.001,PASS
P03,NLIN-DLIN_FIXED,2026-06-18,30,0.0011,PASS
P03,SMLP-TCN,2026-06-18,30,0.0005,PASS
P03,Theta,2026-06-18,30,0.0263,PASS
P03,XGBoost,2026-06-18,30,0.0192,PASS
P04,ARIMA_Fixed,2026-04-20,30,0.0008,PASS
P04,AutoARIMA,2026-04-20,30,0.4846,PASS
P04,ETS Explicit,2026-04-20,30,0.0122,PASS
P04,ETS_Current,2026-04-20,30,0.0006,PASS
P04,FNAR-V2,2026-04-20,30,0.1359,PASS
P04,FixedGrowth_1_5,2026-04-20,30,0.0007,PASS
P04,FixedGrowth_3,2026-04-20,30,0.0005,PASS
P04,FixedGrowth_4,2026-04-20,30,0.0005,PASS
P04,FixedGrowth_6,2026-04-20,30,0.0008,PASS
P04,LightGBM,2026-04-20,30,0.0222,PASS
P04,LinearRegression,2026-04-20,30,0.0014,PASS
P04,NLIN-DLIN_FIXED,2026-04-20,30,0.0015,PASS
P04,SMLP-TCN,2026-04-20,30,0.0004,PASS
P04,Theta,2026-04-20,30,0.018,PASS
P04,XGBoost,2026-04-20,30,0.0614,PASS
P04,ARIMA_Fixed,2026-05-20,30,0.0008,PASS
P04,AutoARIMA,2026-05-20,30,0.4933,PASS
P04,ETS Explicit,2026-05-20,30,0.0169,PASS
P04,ETS_Current,2026-05-20,30,0.0011,PASS
P04,FNAR-V2,2026-05-20,30,0.1638,PASS
P04,FixedGrowth_1_5,2026-05-20,30,0.0008,PASS
P04,FixedGrowth_3,2026-05-20,30,0.0007,PASS
P04,FixedGrowth_4,2026-05-20,30,0.0003,PASS
P04,FixedGrowth_6,2026-05-20,30,0.0003,PASS
P04,LightGBM,2026-05-20,30,0.0226,PASS
P04,LinearRegression,2026-05-20,30,0.001,PASS
P04,NLIN-DLIN_FIXED,2026-05-20,30,0.0009,PASS
P04,SMLP-TCN,2026-05-20,30,0.0002,PASS
P04,Theta,2026-05-20,30,0.0169,PASS
P04,XGBoost,2026-05-20,30,0.071,PASS
P04,ARIMA_Fixed,2026-06-19,30,0.0008,PASS
P04,AutoARIMA,2026-06-19,30,0.4762,PASS
