rule_id,rule_name,applies_to,input_condition,required_evidence,recommendation_action,blocking_status,manual_review_required,dashboard_requirement,created_timestamp
RULE-001,Conditional champion rule,selected champion,decision=CHAMPION_SELECTED_WITH_CONDITIONS,champion_decision.csv,KEEP_WITH_CONDITIONS,non_blocking,False,Surface conditional champion and medium confidence.,2026-06-14T10:32:59
RULE-002,High-risk model rule,high-risk models,risk_level=high or audit_risk_flag=true,risk register,REVIEW_INVESTIGATE,blocking_for_champion,True,Surface risk and investigation need.,2026-06-14T10:32:59
RULE-003,Deferred runtime rule,runtime-deferred models,final_status=deferred_runtime_impractical,deferred model record,TEST_LATER,not_current_candidate,False,"Show runtime deferral, not discarded.",2026-06-14T10:32:59
RULE-004,Deferred dependency rule,dependency-deferred models,final_status=deferred_dependency_blocked,deferred model record,TEST_LATER,not_current_candidate,False,"Show dependency deferral, not discarded.",2026-06-14T10:32:59
RULE-005,Manual review rule,manual-review models,manual review carried forward,risk register,REVIEW,non_blocking,True,Show review-needed label.,2026-06-14T10:32:59
RULE-006,Medium confidence rule,conditional champion,decision_confidence=medium,champion summary,MONITOR,non_blocking,False,Display confidence as medium.,2026-06-14T10:32:59
RULE-007,Tournament standing is not champion rule,all models,preliminary_position exists,tournament standings,DO_NOT_PRESENT_AS_UNCONDITIONAL_WINNER,communication_guardrail,False,Do not imply position equals champion.,2026-06-14T10:32:59
RULE-008,Ineligible due to risk rule,ineligible risk models,champion_candidate_status=ineligible_due_to_risk,candidate evaluation,EXCLUDE_FROM_CHAMPION_CONSIDERATION,blocking_for_champion,True,Explain risk-based exclusion.,2026-06-14T10:32:59
RULE-009,Ineligible due to evidence rule,ineligible evidence models,champion_candidate_status=ineligible_due_to_evidence,candidate evaluation,EXCLUDE_FROM_CHAMPION_CONSIDERATION,blocking_for_champion,False,Explain evidence-based exclusion.,2026-06-14T10:32:59
RULE-010,Audit advisory carry-forward rule,audit/sanity findings,advisory or minor finding exists,Audit #4/#5/5.30A artifacts,MONITOR,non_blocking,False,Keep audit/sanity caveats visible.,2026-06-14T10:32:59
RULE-011,Dashboard surfacing rule,all active risks,dashboard_carry_forward=true,risk_to_action_mapping.csv,SURFACE_ON_DASHBOARD,communication_guardrail,False,Dashboard must surface conditions and risks.,2026-06-14T10:32:59
RULE-012,No silent upgrade rule,conditional decisions,conditional champion or unresolved risk,governance definitions/statuses,DO_NOT_PRESENT_AS_UNCONDITIONAL_WINNER,communication_guardrail,False,No unconditional winner language without future audit.,2026-06-14T10:32:59
