field_name,data_type,required,description,example
run_id,string,True,Unique Model Lab run identifier.,
job_id,string,True,Unique planned job identifier.,
entity_key,string,True,Forecast entity for the job.,
model_name,string,True,Registered model name.,
window_id,integer,True,Walk-forward window identifier.,
wmape,float,True,Weighted mean absolute percentage error.,
mape,float,True,Mean absolute percentage error.,
rmse,float,True,Root mean squared error.,
smape,float,True,Symmetric mean absolute percentage error.,
bias,float,True,Forecast bias.,
stability_score,float,True,Window-to-window stability score.,
horizon_score,float,True,Forecast horizon quality score.,
composite_score,float,True,Tournament-ready composite score.,
created_timestamp,datetime,True,Metric row creation timestamp.,
