control,input_id,source_function,metadata_slice,depends_on,expected_values,empty_or_disabled_behaviour,status
Metric,vsx_metric,get_available_metrics(),available_scenarios.csv,none,HDD - Basilisk / HDD - EDB / SSD - Phoenix,Memory CPU IOPS and SSD - MCDB are never listed,IMPLEMENTED
Scenario,vsx_scenario,get_available_scenarios(metric),available_scenarios.csv,Metric,HDD - EDB: Consumer Enterprise; HDD - Basilisk: Basilisk; SSD - Phoenix: Low Volume No Efficiency and Low Volume With Efficiency,Only the 2 authorised SSD scenarios are offered,IMPLEMENTED
Granularity,vsx_granularity,get_available_granularities(metric scenario),available_scenarios.csv,Metric + Scenario,HDD: Region and Forest; SSD - Phoenix: Forest,Single value renders as the only option,IMPLEMENTED
Key,vsx_key,get_available_keys(metric scenario granularity),available_keys.csv,Metric + Scenario + Granularity,HDD - EDB Forest 152; HDD - Basilisk Forest 155; SSD - Phoenix 148 and 152; Region 45 to 47,Server-side selectize; NAMPRD07 preselected when present,IMPLEMENTED
Forecast version,vsx_version,get_available_versions(metric scenario granularity),available_versions.csv,Metric + Scenario + Granularity,SSD - Phoenix 3 versions; HDD shows Not applicable on the Viewer,Renders Not applicable with an explicit hint because viewer_hdd is not versioned,IMPLEMENTED
Model / Type,vsx_models,get_available_model_types(metric scenario granularity),available_model_types.csv,Metric + Scenario + Granularity,HDD - EDB Forest 24 types across 3 families; HDD - Basilisk 1 type; SSD - Phoenix not applicable,Control is hidden entirely when applies = FALSE; actual and markers never listed,IMPLEMENTED
Badge,vsx_badge,resolve_series_query(),scenario_registry.csv,Metric + Scenario + Granularity + Key,Actual + Forecast for HDD; Forecast only for SSD - Phoenix,Shows the blocked status for any non-available selection,IMPLEMENTED
Status notice,vsx_state,resolve_series_query(),scenario_registry.csv,Metric + Scenario,One of the six VSX_EMPTY_MESSAGES,Always explains why nothing is rendered,IMPLEMENTED
Chart,vsx_chart,fetch_series_preview(),DuckDB,all controls,Actual plus selected models for HDD; a single Forecast line for SSD - Phoenix,Renders an explicit empty chart with the reason,IMPLEMENTED
Data notes,vsx_notes,fetch_series_preview(),DuckDB,all controls,Table name row count elapsed seconds and the key matching statement,Hidden when there is no resolution,IMPLEMENTED
