"visual_element","expected","status_to_confirm"
"Page header (title + subtitle)","Model Universe + governed subtitle","PENDING_OSCAR"
"Summary KPI cards (8 cards, two rows)","Total 15, Baselines 7, Challengers 8, Tournament 13, Deferred 2, Eligible 12, Champion 1, Risk 3","PENDING_OSCAR"
"Governed model universe table (DT, searchable)","15 rows, one per model","PENDING_OSCAR"
"Origin badges (Baseline / Challenger)","Blue baseline / amber challenger pills","PENDING_OSCAR"
"Status badges (active / deferred / selected champion)","Green for selected champion, amber for deferred","PENDING_OSCAR"
"Tournament inclusion badges (Included / Excluded)","Green included / amber excluded","PENDING_OSCAR"
"Champion eligibility badges (Eligible / Not eligible)","Blue eligible / amber not eligible","PENDING_OSCAR"
"Selected champion (with conditions) highlight","Green pill on ETS Explicit row","PENDING_OSCAR"
"Risk flag badges","Amber risk pill on flagged rows, blue 'None' otherwise","PENDING_OSCAR"
"Governed interpretation notes","Six governed read-how-to rows","PENDING_OSCAR"
"Sidebar unchanged","Navigation identical to prior blocks","PENDING_OSCAR"
"Overall shell intact","Header / sidebar / footer grid unchanged","PENDING_OSCAR"
