"artifact_key","category","requirement","presence","status","ready_for_use","rows","cols","rel_path"
"key_results","closure_pack","required","available","required_available",TRUE,11,5,"outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv"
"champion_summary","closure_pack","required","available","required_available",TRUE,1,11,"outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv"
"final_model_universe","closure_pack","required","available","required_available",TRUE,15,10,"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv"
"risk_register_final","closure_pack","required","available","required_available",TRUE,7,10,"outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv"
"deferred_models","closure_pack","optional","available","optional_available",TRUE,2,6,"outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv"
"next_steps","closure_pack","optional","available","optional_available",TRUE,6,5,"outputs/model_lab/model_lab_closure_pack/model_lab_next_steps.csv"
"dashboard_handoff_manifest","closure_pack","optional","available","optional_available",TRUE,14,6,"outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv"
"artifact_manifest","closure_pack","optional","available","optional_available",TRUE,12,5,"outputs/model_lab/model_lab_closure_pack/model_lab_artifact_manifest.csv"
"tournament_standings","tournament","required","available","required_available",TRUE,13,13,"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv"
"tournament_scorecard","tournament","required","available","required_available",TRUE,13,17,"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv"
"tournament_pairwise","tournament","optional","available","optional_available",TRUE,78,16,"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv"
"challenger_metrics","challenger","optional","available","optional_available",TRUE,6,17,"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv"
"challenger_aggregation","challenger","optional","available","optional_available",TRUE,6,15,"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv"
"champion_conditions","governance","required","available","required_available",TRUE,5,11,"outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv"
"champion_dashboard_language","governance","required","available","required_available",TRUE,13,8,"outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv"
"audit_4_summary","audit","optional","available","optional_available",TRUE,1,8,"outputs/model_lab/audit_4/audit_4_summary.csv"
"audit_5_findings","audit","optional","available","optional_available",TRUE,19,9,"outputs/model_lab/audit_5/audit_5_findings.csv"
"audit_5_report","audit","optional","available","optional_available",TRUE,171,1,"outputs/model_lab/audit_5/audit_5_final_report.md"
"tournament_sanity_summary","audit","optional","available","optional_available",TRUE,1,15,"outputs/model_lab/tournament_sanity_review/tournament_sanity_summary.csv"
"benchmark_semantics","methodology","optional","available","optional_available",TRUE,102,1,"docs/benchmark_semantics/benchmark_semantics_v1.md"
"champion_decision_report","methodology","optional","available","optional_available",TRUE,55,1,"outputs/model_lab/champion_decision/champion_decision_report.md"
"forecasts","forecasting","optional","available","optional_available",TRUE,65095,9,"data/processed/forecasts.csv"
"actuals","forecasting","optional","available","optional_available",TRUE,84537,7,"data/processed/actuals.csv"
"forecast_comparison","forecasting","optional","available","optional_available",TRUE,0,11,"data/processed/forecast_comparison.csv"
"entities","forecasting","optional","available","optional_available",TRUE,45,8,"data/processed/entities.csv"
"run_metadata","forecasting","optional","available","optional_available",TRUE,1,12,"data/processed/run_metadata.csv"
"ttl_capacity","ttl","roadmap","missing","roadmap",FALSE,0,0,"outputs/model_lab/ttl/ttl_capacity_view.csv"
