page_id,response_title,claim_id,claim,evidence_pack,source_artifacts,evidence_fields
executive_overview,Executive Overview,champion_overview_01,Champion remains ETS Explicit under governed conditions; not re-fit and not changed in V4.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_name | champion.final_decision
executive_overview,Executive Overview,champion_overview_02,"Champion accuracy on record: median MASE 6.90, median RMSSE 1.86.",v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_mase | champion.champion_rmsse
executive_overview,Executive Overview,champion_overview_03,Governed model scope contains 15 models.,v4_2_evidence_pack_champion_overview.json,model_universe_canonical.csv,governed_model_scope_rows
executive_overview,Executive Overview,champion_overview_04,0 candidates were advanced; the champion is retained for review.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.total_candidates_advanced | champion.final_decision
executive_overview,Executive Overview,champion_overview_91,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage
executive_overview,Executive Overview,champion_overview_92,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.snapshot_caveat
executive_overview,Executive Overview,champion_overview_93,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage
executive_overview,Executive Overview,champion_overview_94,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,candidate_claims
executive_overview,Executive Overview,tournament_01,Evidence indicates 7 models ranked for review under stated conditions.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking
executive_overview,Executive Overview,tournament_02,The closest challenger by MASE ratio is SMLP-TCN at 2.72x the champion; it remains a documented challenger.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking[].model | ranking[].ratio_vs_champion_mase
