entity_key,outlier_count,outlier_percentage
APC-Dedicated,27,0.008495909376966647
APC-MSIT,1,0.00031466331025802394
APC-Multitenant,53,0.01667715544367527
ARE-Go Local,10,0.0031466331025802393
AUS-Go Local,40,0.012586532410320957
BRA-Go Local,1,0.00031466331025802394
CAN-Go Local,19,0.005978602894902455
DEU-Go Local,7,0.0022026431718061676
ESP-Go Local,32,0.010069225928256766
EUR-Dedicated,5,0.0015733165512901196
EUR-Multitenant,82,0.025802391441157962
FRA-Go Local,6,0.0018879798615481435
GBR-Dedicated,32,0.010069225928256766
GBR-Go Local,39,0.012271869100062933
IND-Go Local,29,0.009125235997482694
ISR-Go Local,4,0.0012586532410320957
ITA-Go Local,18,0.005663939584644431
JPN-Go Local,31,0.009754562617998742
LAM-Multitenant,23,0.00723725613593455
MEX-Go Local,3,0.0009439899307740718
NAM-Dedicated,17,0.005349276274386407
NAM-GCC Low,17,0.005349276274386407
NAM-ITAR DoD,23,0.00723725613593455
NAM-ITAR GCCH,29,0.009125235997482694
NAM-Multitenant,84,0.02643171806167401
NAM-SDF,41,0.012901195720578981
NAM-TDF,38,0.01195720578980491
NOR-Go Local,7,0.0022026431718061676
NZL-Go Local,7,0.0022026431718061676
POL-Go Local,31,0.009754562617998742
QAT-Go Local,3,0.0009439899307740718
SWE-Go Local,10,0.0031466331025802393
TWN-Go Local,16,0.005034612964128383
