metric_name,entity_key,window_id,model_name,metric_value,wmape,mape,rmse,bias,abs_bias
wmape,APC-Dedicated,10,ETS_Current,42.947497870729336,42.947497870729336,58.15190025354224,2413.1766545413784,-2111.019793641396,2111.019793641396
wmape,APC-Dedicated,10,LinearRegression,27.030003593022936,27.030003593022936,34.99407381916228,1447.4881130292908,-1328.6192545796491,1328.6192545796491
wmape,AUS-Go Local,5,ARIMA_Fixed,16.938096190461344,16.938096190461344,17.285142826630693,4590358.173495835,-4037424.141593232,4037424.141593232
wmape,APC-Dedicated,10,ARIMA_Fixed,16.23823677333734,16.23823677333734,21.99385497882237,913.2910948606929,-798.1661550000002,798.1661550000002
wmape,ITA-Go Local,5,LinearRegression,6.987618038733518,6.987618038733518,6.677142101016971,172569.12846477874,68168.74666243176,68168.74666243176
wmape,GBR-Dedicated,5,ARIMA_Fixed,6.605733184947521,6.605733184947521,6.369680114673944,7566.337774070732,-6662.275928966666,6662.275928966666
wmape,NAM-Multitenant,5,ARIMA_Fixed,4.6870400397802445,4.6870400397802445,4.469299599441227,12143334.30519761,-10700074.17250646,10700074.17250646
wmape,APC-Multitenant,5,ARIMA_Fixed,4.672601731209065,4.672601731209065,4.46780497326574,2589860.4414980337,-2281516.376938165,2281516.376938165
wmape,EUR-Multitenant,5,ARIMA_Fixed,3.8047275375696095,3.8047275375696095,3.625935408160777,8035948.462909665,-7071084.308739469,7071084.308739469
wmape,AUS-Go Local,5,ETS_Current,3.284692945909517,3.284692945909517,3.092312913762533,877586.6109971217,-782306.2375599708,782306.2375599708
wmape,NAM-ITAR DoD,5,ETS_Current,3.130557532687591,3.130557532687591,12.040311840025112,104829.40325057627,-94605.09071773267,94605.09071773267
wmape,NAM-ITAR GCCH,5,ETS_Current,3.067943969408225,3.067943969408225,12.6874457822772,67312.14665045211,-60929.03259124337,60929.03259124337
wmape,ITA-Go Local,5,ARIMA_Fixed,2.257924477275677,2.257924477275677,2.1893052101548496,37521.40469829575,-33247.51638256666,33247.51638256666
wmape,MEX-Go Local,5,ARIMA_Fixed,2.0976912869219877,2.0976912869219877,2.047958127541406,2247.31372754864,-1979.7633543000004,1979.7633543000004
wmape,LAM-Multitenant,5,ARIMA_Fixed,1.6582276382866783,1.6582276382866783,1.6280526667466455,320675.45974743523,-283997.8071814008,283997.8071814008
wmape,QAT-Go Local,5,ARIMA_Fixed,1.645502795714156,1.645502795714156,1.6254704536480873,12240.625062149764,-10793.628762633343,10793.628762633343
wmape,CAN-Go Local,5,ARIMA_Fixed,1.5057815488103203,1.5057815488103203,1.4875602632957607,264112.2437224529,-232580.27904206797,232580.27904206797
wmape,NAM-Dedicated,5,ARIMA_Fixed,1.5024473476738367,1.5024473476738367,1.481914425073651,155769.23705734208,-137090.46844049974,137090.46844049974
wmape,ISR-Go Local,5,ARIMA_Fixed,1.3119359234012016,1.3119359234012016,1.2924947267457116,1284.0808111507652,-1132.8215710666734,1132.8215710666734
wmape,GBR-Dedicated,5,ETS_Current,1.2848466820774735,1.2848466820774735,1.2378841510409362,1443.858504306695,-1294.7540758550942,1294.7540758550942
wmape,EUR-Dedicated,5,ARIMA_Fixed,1.2630997973373397,1.2630997973373397,1.24272646261517,33401.089810936035,-29505.10409779993,29505.10409779993
wmape,NAM-Multitenant,5,ETS_Current,1.1562871163908537,1.1562871163908537,1.101513289159072,2950461.076236982,-2639695.3738581315,2639695.3738581315
wmape,DEU-Go Local,5,ARIMA_Fixed,1.142429771805803,1.142429771805803,1.13069240647536,100635.03506172403,-88643.93515926636,88643.93515926636
wmape,APC-Multitenant,5,ETS_Current,1.1210515984659697,1.1210515984659697,1.0695434848865868,612214.9544731722,-547381.8930917096,547381.8930917096
wmape,NAM-TDF,5,ETS_Current,1.0859829687835136,1.0859829687835136,1.0794815555743678,53.96850135745099,47.15815517350016,47.15815517350016
wmape,NAM-ITAR GCCH,5,LinearRegression,1.0406035767312023,1.0406035767312023,1.0339926128787362,22298.440382606896,-20644.53594310568,20644.53594310568
wmape,NAM-ITAR DoD,5,ARIMA_Fixed,1.036413920027913,1.036413920027913,1.0933765176000014,33945.98921500291,-31320.3101689,31320.3101689
wmape,NAM-ITAR GCCH,5,ARIMA_Fixed,1.0329805767327531,1.0329805767327531,1.0828761597852383,22113.590078952187,-20514.881579800003,20514.881579800003
