entity_key,forecast_rows,model_count,window_count,forecast_min,forecast_max,forecast_median,negative_forecast_count
APC-Dedicated,210,7,1,28.622174,63.66191048460882,28.94029334424672,0
APC-MSIT,210,7,1,2328.512356999988,2475.00676982,2353.591343376,0
APC-Multitenant,210,7,1,585410.974929,620535.63342474,591053.0173855367,0
ARE-Go Local,210,7,1,27988.76652217852,43141.02247329999,41043.98456838251,0
AUS-Go Local,210,7,1,279705.1443780489,296822.96323898004,282821.88006733,0
BRA-Go Local,210,7,1,53671.09282789561,56871.80018928,54282.27019296019,0
CAN-Go Local,210,7,1,170033.1131598222,180238.79498240005,171880.93283600901,0
CHE-Go Local,210,7,1,35258.00117399977,37861.71529404,36032.301118804346,0
DEU-Go Local,210,7,1,90760.888865,96168.93844674,91801.46957975478,0
ESP-Go Local,210,7,1,14063.076818,14929.73732948,14197.335120864,0
