finding_id,area,severity,description,evidence,recommendation
F-01,active_root_declaration,none,V1 is consistently and correctly declared as the active project root across all four root markers with the same absolute path.,VERSION_INFO.md; ACTIVE_PROJECT_ROOT.md; docs/V1_ACTIVE_ROOT_POLICY.md; config/project_root_policy.json,No action required.
F-02,container_root_declaration,none,Parent AEGIS-FORESCASTING-IMPROVEMENT folder is documented as container/version root only and excluded as the active working root.,ACTIVE_PROJECT_ROOT.md; VERSION_INFO.md Active Root Rules; config/project_root_policy.json project_container_root,No action required.
F-03,agent_instruction_policy,none,Codex and Claude instruction policies are explicitly defined requiring operation inside V1.,docs/V1_ACTIVE_ROOT_POLICY.md Codex Instruction Policy and Claude Audit Instruction Policy,No action required.
F-04,historical_preservation,none,Both old-root historical files remain unedited and still contain original old-root text confirming preservation.,outputs/governance/6_1_governance_foundation/governance_6_0_6_1_validation.csv lines 2-3; outputs/model_lab/audit_4/_audit_4_independent_verification.py line 12,Continue to leave unchanged.
F-05,old_root_no_rewrite,none,Decision not to rewrite old-root references in historical artifacts is correct; these are governed audit/closure evidence.,v1_controlled_migration_decisions.csv CMD-004; v1_recommended_migration_actions.csv MA-001,No action required.
F-06,runtime_cleanliness,none,Independent grep across python config shiny_app and setup.R found zero old-root absolute path references confirming no runtime rewrite was needed.,grep_search over V1/python V1/config V1/shiny_app V1/setup.R returned no matches,No action required.
F-07,config_validity,none,config/project_root_policy.json is valid JSON and its values align with policy docs and the validation script equality checks.,config/project_root_policy.json; validate_v1_controlled_migration.py check_json,No action required.
F-08,decision_traceability,none,Seven controlled migration decisions are complete each with rationale affected files and completed status.,v1_controlled_migration_decisions.csv CMD-001..CMD-007,No action required.
F-09,validation_coverage,advisory,Stage 05/06/Audit #6/Shiny protection checks confirm directory existence and read-only intent rather than cryptographic proof of non-modification.,validate_v1_controlled_migration.py add(...) existence checks; v1_controlled_migration_validation.csv,Acceptable for lightweight formalization; consider hash/manifest snapshot if stronger non-modification proof is desired later. Not blocking.
F-10,preexisting_shiny_app,advisory,shiny_app already contains a substantial app (app.R global.R modules server ui R) prior to Stage 07 Block 7.0 which is titled Shiny Project Scaffold.,v1_path_migration_diagnostic.csv shiny_app/* rows; v1_sensitive_file_inventory.csv shiny_app row,Block 7.0 should reconcile with or explicitly supersede the existing shiny_app content rather than assume a greenfield scaffold. Not blocking for the migration audit.
F-11,environment_portability,advisory,.venv is flagged non-portable and may contain internal absolute paths; documented as recreate-not-migrate.,v1_sensitive_file_inventory.csv .venv row; v1_recommended_migration_actions.csv MA-002; docs/V1_ACTIVE_ROOT_POLICY.md .venv Portability Warning,Recreate or reinstall dependencies if the environment breaks; do not hand-edit .venv internals.
F-12,scan_count_consistency,none,Codex closeout facts reconcile with artifacts: 512 files scanned 2 files with old-root references 3 reference rows 0 runtime rewrites 21 pass 0 fail.,v1_path_migration_diagnostic_report.md; v1_path_migration_diagnostic.csv; v1_controlled_migration_validation.csv,No action required.
