run_id,model_name,model_origin,model_family,official_median_mase,official_median_rmsse,supported_better_count,supported_worse_count,inconclusive_count,risk_status,audit_risk_flag,eligible_for_champion_consideration,manual_review_required,manual_review_reason,champion_candidate_status,created_timestamp
champion_decision,ARIMA_Fixed,baseline,statistical,11.789916350319965,3.49334506602668,3,3,6,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,ETS_Current,baseline,statistical,8.65417111153676,2.273019421267602,4,0,8,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,FixedGrowth_1_5,baseline,growth_baseline,8.649280961006667,2.2718379673062783,6,0,6,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,FixedGrowth_3,baseline,growth_baseline,12.989045570820014,3.019316356642247,4,0,8,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,FixedGrowth_4,baseline,growth_baseline,16.52907963144241,4.072356391248675,2,5,5,low,False,True,False,,ineligible_due_to_evidence,2026-06-13T20:05:35
champion_decision,FixedGrowth_6,baseline,growth_baseline,27.01539149184708,5.083541365063246,1,9,2,medium,False,True,True,Risk status requires review: medium.,ineligible_due_to_evidence,2026-06-13T20:05:35
champion_decision,LinearRegression,baseline,machine_learning,9.49576945571986,2.751763320667872,4,1,7,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,AutoARIMA,challenger,statistical,8.088530320808188,1.8590126984374988,2,1,9,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,Theta,challenger,statistical,10.642289708177191,2.819225444576951,5,0,7,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,ETS Explicit,challenger,statistical,6.901143533373399,1.856193218184295,8,0,4,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,LightGBM,challenger,machine_learning,16.04104170759398,4.061386180935608,1,9,2,low,False,True,False,,ineligible_due_to_evidence,2026-06-13T20:05:35
champion_decision,XGBoost,challenger,machine_learning,14.547628304157428,3.880790199165525,3,3,6,low,False,True,False,,eligible_candidate,2026-06-13T20:05:35
champion_decision,FastNeuralAR_MLP,challenger,lightweight_neural,739.9218881736479,164.62241686434226,0,12,0,high,True,False,True,High-risk flag: extreme MASE/RMSSE and possible scale or recursive-collapse issue.,ineligible_due_to_risk,2026-06-13T20:05:35
