run_id,job_id,entity_key,window_id,model_name,status,message,created_timestamp
baseline_pilot_20260611_102542,job_000155,APC-Dedicated,12,ARIMA_Fixed,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000158,APC-Dedicated,12,ETS_Current,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000164,APC-Dedicated,12,LinearRegression,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000159,APC-Dedicated,12,FixedGrowth_1_5,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000160,APC-Dedicated,12,FixedGrowth_3,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000161,APC-Dedicated,12,FixedGrowth_4,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000162,APC-Dedicated,12,FixedGrowth_6,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000323,APC-MSIT,12,ARIMA_Fixed,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000326,APC-MSIT,12,ETS_Current,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000332,APC-MSIT,12,LinearRegression,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000327,APC-MSIT,12,FixedGrowth_1_5,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000328,APC-MSIT,12,FixedGrowth_3,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000329,APC-MSIT,12,FixedGrowth_4,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000330,APC-MSIT,12,FixedGrowth_6,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000491,APC-Multitenant,12,ARIMA_Fixed,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000494,APC-Multitenant,12,ETS_Current,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000500,APC-Multitenant,12,LinearRegression,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000495,APC-Multitenant,12,FixedGrowth_1_5,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000496,APC-Multitenant,12,FixedGrowth_3,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000497,APC-Multitenant,12,FixedGrowth_4,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000498,APC-Multitenant,12,FixedGrowth_6,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000659,ARE-Go Local,12,ARIMA_Fixed,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000662,ARE-Go Local,12,ETS_Current,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000668,ARE-Go Local,12,LinearRegression,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000663,ARE-Go Local,12,FixedGrowth_1_5,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000664,ARE-Go Local,12,FixedGrowth_3,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000665,ARE-Go Local,12,FixedGrowth_4,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000666,ARE-Go Local,12,FixedGrowth_6,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000827,AUS-Go Local,12,ARIMA_Fixed,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000830,AUS-Go Local,12,ETS_Current,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000836,AUS-Go Local,12,LinearRegression,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000831,AUS-Go Local,12,FixedGrowth_1_5,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
baseline_pilot_20260611_102542,job_000832,AUS-Go Local,12,FixedGrowth_3,completed,Larger baseline pilot job completed.,2026-06-11T10:25:42
