column,dtype,non_null_rows,null_rows,example
series_key,str,14040,0,APC-Dedicated
series_label,str,14040,0,APC-Dedicated
date,string,14040,0,2025-05-03
actual_value,float64,14040,0,2427.007518
model_name,str,14040,0,FixedGrowth_1_5
model_origin,str,14040,0,baseline
model_family,str,14040,0,growth_baseline
forecast_value,float64,14040,0,2428.13071863
forecast_type,str,14040,0,backtest
horizon_days,int64,14040,0,1
forecast_start_date,string,14040,0,2025-05-02
run_id,str,14040,0,full_baseline_20260611_103953
source_artifact,str,14040,0,outputs/model_lab/full_baseline/full_baseline_forecasts.csv
is_baseline,bool,14040,0,True
is_challenger,bool,14040,0,False
is_deferred,bool,14040,0,False
is_selected_champion,bool,14040,0,False
risk_status,str,14040,0,ok
lower_bound,object,0,14040,
upper_bound,object,0,14040,
interval_level,object,0,14040,
