component,metric_or_measure,found_status,source_file,source_column,grain,safe_for_shiny_display,safe_for_governed_scoring,safe_for_proposed_ui_score,notes
Accuracy core,MASE,found directly in artifact,outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/champion_decision/champion_decision_scorecard.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::official_median_mase; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::official_median_mase; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::mase_guardrail_status; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv::median_delta_mase; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_mase; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::official_median_mase; outputs/model_lab/tournament_sanity_review/tournament_pairwise_sanity_review.csv::median_delta_mase,champion-level / decision-level; entity x model; model-level,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Accuracy core,RMSSE,found directly in artifact,outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/champion_decision/champion_decision_scorecard.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::official_median_rmsse; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::official_median_rmsse; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::rmsse_guardrail_status; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_rmsse; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::official_median_rmsse; outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv::official_median_rmsse; outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv::diagnostic_mean_rmsse,champion-level / decision-level; entity x model; model-level,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Tournament support,pairwise_supported_better,found directly in artifact,outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_better_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_better_count; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::supported_better_count,champion-level / decision-level; model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Tournament support,pairwise_worse,found directly in artifact,outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_worse_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_worse_count; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_worse_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_worse_count; outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv::supported_worse_count,champion-level / decision-level; model-level rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Tournament support,total_pairwise_comparisons,found directly in artifact,outputs/model_lab/tournament_engine/tournament_summary.csv,outputs/model_lab/tournament_engine/tournament_summary.csv::pairwise_comparisons,artifact rows,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Tournament support,support ratio / win rate,found directly in artifact,outputs/model_lab/statistical_significance/pairwise_model_significance.csv,outputs/model_lab/statistical_significance/pairwise_model_significance.csv::model_a_entity_win_rate; outputs/model_lab/statistical_significance/pairwise_model_significance.csv::model_b_entity_win_rate,pairwise model_a x model_b,true,false,true,Use governed source columns where available; do not recompute official metric in Shiny.
Coverage / robustness,series coverage,found directly in artifact,outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::entity_count; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv::paired_entity_count; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv::entity_count; outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv::paired_entity_count,model-level; pairwise model_a x model_b,true,true,true,Use governed source columns where available; do not recompute official metric in Shiny.
Coverage / robustness,horizon coverage,not found,,,,false,false,false,Not located in inspected columns.
Coverage / robustness,model coverage,not found,,,,false,false,false,Not located in inspected columns.
Coverage / robustness,missing actuals,derivable from point artifact completeness,data/processed/forecast_viewer_model_outputs.csv,,,true as diagnostic,false,true,Can be computed as UI diagnostic only; not official governed scoring unless approved.
