finding_type,found_status,source_file,source_location,exact_column_or_term,value_or_formula,notes
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_policy/ranking_metric_weights.csv,column,normalized_score_direction,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_wmape,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_mape,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_rmse,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_smape,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,weighted_abs_bias,,Column name contains score/composite/weighted. Interpret only with artifact context.
score_column,score-like column found outside final tournament formula,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,diagnostic_composite_score,,Column name contains score/composite/weighted. Interpret only with artifact context.
rank_or_position_column,rank/position column found,outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,column,preliminary_position,,Rank/position appears to exist; not evidence of a weighted composite formula by itself.
rank_or_position_column,rank/position column found,outputs/model_lab/tournament_engine/tournament_summary.csv,column,preliminary_standings_created,,Rank/position appears to exist; not evidence of a weighted composite formula by itself.
rank_or_position_column,rank/position column found,outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv,column,preliminary_position,,Rank/position appears to exist; not evidence of a weighted composite formula by itself.
rank_or_position_column,rank/position column found,outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,column,diagnostic_position_within_entity_window,,Rank/position appears to exist; not evidence of a weighted composite formula by itself.
weight_column,weight-like column found,outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv,column,entity_weight,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
weight_column,weight-like column found,outputs/model_lab/ranking_policy/ranking_metric_weights.csv,column,weight,0.3 | 0.15 | 0.2 | 0.2 | 0.15,May be ranking policy or historical baseline weights; verify not a tournament composite formula.
