cohort_id,extraction_id,selected_for_mvp,selected_for_p3_extraction,extraction_status,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,source_object_or_artifact,date_column,value_column,actual_column,forecast_column,additional_columns_to_extract,min_date,max_date,observation_count,passes_50_actuals,freshness_status,caveat,selection_reason
MVP051,EXT001,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCP150,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix APC, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP052,EXT002,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix APC, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP053,EXT003,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,APCPRD02,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix APC, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP054,EXT004,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AREP273,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix ARE, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP055,EXT005,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP282,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix AUS, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP056,EXT006,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSP300,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix AUS, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP057,EXT007,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUSPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix AUS, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP058,EXT008,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,AUTP296,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix AUT, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP059,EXT009,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,BRAP284,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix BRA, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP060,EXT010,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CANP288,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix CAN, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP061,EXT011,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CANPRD01,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix CAN, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP062,EXT012,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CHEP278,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix CHE, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP063,EXT013,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,CHLP298,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix CHL, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP064,EXT014,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,DEUP281,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix DEU, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
MVP065,EXT015,TRUE,TRUE,TO_EXTRACT_IN_P3,SSD,Phoenix,LVWE+LVNE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,DNKP307,SSD|Phoenix|LowVolume|Forest,forecast_substrateBE_ssd_phx_lvwe_metrics + forecast_substrateBE_ssd_phx_lvne_metrics,End_Date,Mean_Actual,Mean_Actual,Mean_Forecast,"Start_Date,Count,MAE,RMSE,Bias,Bias_Pct,MAPE,SMAPE,Accuracy,Forecast_Version",2026-04-13,2026-08-22,131,TRUE,CURRENT (to 2026-08-22),"AGGREGATED_WINDOW_ACTUALS (window 1-7 days, mean 5.22); Mean_Actual stored as varchar, must be CAST in P3; single Forecast_Version 2026-03-12; 15 governed model backtests DO NOT exist yet and must be generated in P5","Geographic round-robin on prefix DNK, highest observation count first | P2A VERIFIED: 131 parseable actuals, 0 non-parseable"
