grain,entity_key,horizon_bucket,n,q025,q10,q90,q975
entity_key_x_horizon_bucket,APC-Dedicated,15_30,2337,-0.906,-0.4585,0.0109,3.6628
entity_key_x_horizon_bucket,APC-Dedicated,1_7,1040,-0.4577,-0.0689,0.0087,1.9292
entity_key_x_horizon_bucket,APC-Dedicated,8_14,1029,-0.5417,-0.1668,0.0147,8.4052
entity_key_x_horizon_bucket,APC-MSIT,15_30,2496,-0.1204,-0.069,0.0801,0.5824
entity_key_x_horizon_bucket,APC-MSIT,1_7,1092,-0.0574,-0.018,0.0432,5.4504
entity_key_x_horizon_bucket,APC-MSIT,8_14,1092,-0.0699,-0.0466,0.0695,1.7706
entity_key_x_horizon_bucket,APC-Multitenant,15_30,2272,-0.0534,-0.0235,0.0329,0.593
entity_key_x_horizon_bucket,APC-Multitenant,1_7,1003,-0.0091,-0.0048,0.0148,0.3875
entity_key_x_horizon_bucket,APC-Multitenant,8_14,1000,-0.0182,-0.011,0.024,0.5893
entity_key_x_horizon_bucket,ARE-Go Local,15_30,2483,-0.2053,-0.0532,0.1001,26.1494
entity_key_x_horizon_bucket,ARE-Go Local,1_7,1092,-0.0237,-0.0086,0.0307,4.053
entity_key_x_horizon_bucket,ARE-Go Local,8_14,1092,-0.0464,-0.0201,0.0655,7.0024
entity_key_x_horizon_bucket,AUS-Go Local,15_30,2423,-0.0438,-0.0272,9.6677,26.1787
entity_key_x_horizon_bucket,AUS-Go Local,1_7,1077,-0.0116,-0.0061,1.9363,26.1787
entity_key_x_horizon_bucket,AUS-Go Local,8_14,1048,-0.0204,-0.0128,0.6705,26.1787
entity_key_x_horizon_bucket,BRA-Go Local,15_30,2474,-0.0423,-0.0269,0.0311,26.1787
entity_key_x_horizon_bucket,BRA-Go Local,1_7,1092,-0.0097,-0.0052,0.0113,9.3169
entity_key_x_horizon_bucket,BRA-Go Local,8_14,1092,-0.0221,-0.014,0.0215,21.684
entity_key_x_horizon_bucket,CAN-Go Local,15_30,2437,-0.0399,-0.0241,0.1022,26.1787
entity_key_x_horizon_bucket,CAN-Go Local,1_7,1092,-0.0104,-0.0053,0.0917,22.5154
entity_key_x_horizon_bucket,CAN-Go Local,8_14,1076,-0.02,-0.0128,0.1105,26.1787
entity_key_x_horizon_bucket,CHE-Go Local,15_30,2484,-0.0375,-0.0209,0.0621,26.1787
entity_key_x_horizon_bucket,CHE-Go Local,1_7,1092,-0.0075,-0.0033,0.0227,3.1178
entity_key_x_horizon_bucket,CHE-Go Local,8_14,1092,-0.0174,-0.0091,0.0425,5.4721
entity_key_x_horizon_bucket,DEU-Go Local,15_30,2439,-0.0313,-0.0149,0.0744,26.1787
entity_key_x_horizon_bucket,DEU-Go Local,1_7,1092,-0.0077,-0.0038,0.0708,10.1316
entity_key_x_horizon_bucket,DEU-Go Local,8_14,1091,-0.0158,-0.0079,0.083,18.4771
entity_key_x_horizon_bucket,ESP-Go Local,15_30,2478,-0.29,-0.0903,1.0201,13.7773
entity_key_x_horizon_bucket,ESP-Go Local,1_7,1092,-0.0544,-0.0177,0.2839,5.0882
entity_key_x_horizon_bucket,ESP-Go Local,8_14,1092,-0.125,-0.0572,0.6096,7.1379
entity_key_x_horizon_bucket,EUR-Dedicated,15_30,2471,-0.1607,-0.1123,0.2898,2.1683
entity_key_x_horizon_bucket,EUR-Dedicated,1_7,1092,-0.0517,-0.0132,0.1163,18.5508
entity_key_x_horizon_bucket,EUR-Dedicated,8_14,1089,-0.1015,-0.0614,0.2583,6.447
entity_key_x_horizon_bucket,EUR-MSIT,15_30,2496,-0.0798,-0.0508,0.058,1.047
entity_key_x_horizon_bucket,EUR-MSIT,1_7,1092,-0.0241,-0.0115,0.0278,6.5013
entity_key_x_horizon_bucket,EUR-MSIT,8_14,1092,-0.0404,-0.0252,0.0518,4.962
entity_key_x_horizon_bucket,EUR-Multitenant,15_30,2274,-0.043,-0.0263,0.0744,0.5324
entity_key_x_horizon_bucket,EUR-Multitenant,1_7,1004,-0.0134,-0.0071,0.0414,0.281
entity_key_x_horizon_bucket,EUR-Multitenant,8_14,1001,-0.0211,-0.0136,0.0813,0.4569
entity_key_x_horizon_bucket,FRA-Go Local,15_30,2459,-0.051,-0.0329,0.0605,26.1787
