stage_id,stage_name,stage_group,execution_order,script_or_entrypoint,input_artifacts,output_artifacts,updates_dashboard_area,requires_vpn,requires_sql,requires_model_execution,requires_backtest,is_light_stage,is_heavy_stage,estimated_runtime_min,measured_runtime_min_if_available,can_run_daily,can_run_weekly,failure_behavior,promotes_to_data_processed,staging_required,last_update_dependency,notes
S00,Auth / VPN / SQL pre-check,gate,0,python/ingestion/test_connection.py,"VPN tunnel; Azure SQL TesseractEarthDW endpoint","connectivity_status (log only)",none,yes,yes,no,no,yes,no,1,NA,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,no,no,no,"Hard gate. If VPN down or SQL unreachable, abort before any write. Auth today is ActiveDirectoryInteractive (config.py) - non-interactive flow to be validated in V3.3B."
S01,Ingestion,ingestion,1,python/ingestion/export_hdd_region.py + python/ingestion/export_official_metrics.py,"Azure SQL TesseractEarthDW (Scenario=Enterprise, ValueType=Forecast-Mean, latest ForecastVersion)","data/raw/hdd_region_forecasts.csv (~65095); data/raw/hdd_region_actuals.csv (~84537); official metrics CSVs",none (feeds Transform),yes,yes,no,no,yes,no,1,under 1,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,no,recommended,no,"Only stage that needs VPN+SQL besides gate. Writes to data/raw (not data/processed)."
S02,Transform / data contract,transform,2,python/transform/build_data_contract.py,"data/raw/hdd_region_forecasts.csv; data/raw/hdd_region_actuals.csv; official metrics CSVs","data/processed/actuals.csv; data/processed/forecasts.csv; data/processed/forecast_comparison.csv; data/processed/entities.csv (45); data/processed/run_metadata.csv",all data-driven tabs,no,no,no,no,yes,no,1,under 1,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,yes,yes,yes,"Currently the ONLY writer of run_metadata.run_timestamp. In V3.3E the authoritative Last Update will move to end-of-pipeline seal (S11)."
S03,Model execution / backtest,models,3,python/model_lab/training_orchestrator.py -> python/model_lab/run_full_baseline_execution.py,"data/processed/actuals.csv; data/processed/forecasts.csv; feature dataset (build_feature_dataset.py)","baseline + challenger forecast outputs; per-window metrics; outputs/model_lab/* artifacts",Models,no,no,yes,yes,no,yes,60-90,"XGBoost ~22.3; LightGBM ~7.7; FNAR-V2 ~3.3; SMLP-TCN ~0.5; 60d 13-model backtest ~10.3",yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,no,yes,no,"HEAVY - 60-90% of total runtime. 39 series x 12 windows = 454 windows, 13 active models. Candidate for daily_light skip (weekly_heavy)."
S04,Forecast outputs / viewer handoff,forecasting,4,python/model_lab/build_forecast_viewer_handoff.py (+ build_interval_calibration_relative_60d.py),"model outputs from S03; calibration artifacts","data/processed/forecast_viewer_model_outputs.csv; interval artifacts",Forecasting / Forecast Viewer,no,no,no,no,yes,no,2-5,NA,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,yes,yes,no,"Consumes S03 outputs. Light if model outputs cached; otherwise gated by S03."
S05,Tournament / scorecard / champion,models,5,python/model_lab/build_tournament_engine.py + python/model_lab/build_champion_decision.py,"per-window backtest metrics from S03","outputs/model_lab/tournament_engine/tournament_model_scorecard.csv; tournament_pairwise_evidence.csv; tournament_entity_model_scores.csv; champion decision",Tournament / Champion,no,no,no,no,no,yes,5,NA,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_CHAMPION,no,yes,no,"Bootstrap 10000 iterations. Champion auto-apply gated by guardrails in S13."
S06,Candidate / canonical model universe,models,6,outputs/v3_2h_model_consistency_fix/build_canonical_universe.R,"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv; full_candidate_outputs medians","data/processed/model_universe_canonical.csv (15 rows)",Universe (15 models),no,no,no,no,yes,no,1,NA,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,yes,yes,no,"V3.2H artifact. Aggregates already-computed medians; no model run. Keeps champion ETS Explicit unless S05 promotes a new one."
S07,Evaluation exports,evaluation,7,python/evaluation/build_dashboard_exports.py,"S03 metrics; S04 forecasts","outputs/dashboard/*.csv",Accuracy / Evaluation,no,no,no,no,yes,no,1,under 1,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,no,yes,no,"Pure aggregation/export."
S08,Governance exports,governance,8,python/governance/build_governance_6_0_6_1.py; build_governance_6_2.py; build_governance_6_3.py; build_governance_6_4.py; build_governance_6_5.py,"evaluation exports; champion decision","outputs/governance/*.csv",Governance,no,no,no,no,yes,no,2-5,NA,yes,yes,ABORT_PIPELINE_KEEP_PRIOR_DAY,no,yes,no,"5 sequential builders 6.0 through 6.5."
S09,Reference exports,reference,9,TBD (confirm in V3.3B - likely config/*.yaml + run_metadata + methodology artifacts; no dedicated runner found),"config/scoring_definitions.yaml; config/ranking_policy.yaml; data/processed/run_metadata.csv","reference artifacts consumed by Reference tab",Reference,no,no,no,no,yes,no,1,NA,yes,yes,SKIP_KEEP_PRIOR_DAY,no,maybe,no,"OPEN: no dedicated reference-export script identified. Most Reference content is static config + run_metadata. Confirm in benchmark."
