finding_id,severity,area,finding,evidence,recommendation,blocking_for_5_30,created_timestamp
F-001,PASS,Model Set Re-scope,Final official challenger set contains exactly the 6 required models (AutoARIMA/Theta/ETS Explicit/LightGBM/XGBoost/FastNeuralAR_MLP).,current_official_challenger_set.csv lists 6 official rows; forecasts file independently shows the 6 final models only.,No action required.,No,2026-06-13T18:00:00
F-002,PASS,Model Set Re-scope,NBEATS is deferred_runtime_impractical and NHITS is deferred_dependency_blocked; deferral history is preserved not deleted.,model_set_rescope_decision.csv (defer_existing_model / maintain_existing_deferral); onboarding_addendum.csv and execution_planning_addendum.csv retain both models with reasons; deferred rows still present in current_official_challenger_set.csv.,No action required.,No,2026-06-13T18:00:00
F-003,PASS,Model Set Re-scope,FastNeuralAR_MLP is documented as the lightweight neural (NNETAR-style) replacement with explicit leakage and tuning policy suitable for MVP/container/Azure automation.,fast_neural_policy.md (sklearn MLPRegressor; train date<=train_end_date; recursive forecast; fixed seed 42; deps scikit-learn/numpy/pandas).,No action required.,No,2026-06-13T18:00:00
F-004,PASS,Forecast Integrity,Official forecasts have 81720 rows (6 x 13620); only the 6 final models appear; 0 NBEATS and 0 NHITS rows; execution_mode=official; horizon_day 1..30; no null/inf forecast_value; no duplicate keys; 39 entities x 454 entity-windows.,Independent pandas verification of challenger_official_forecasts.csv reproduced all counts; contract_validation.csv all pass.,No action required.,No,2026-06-13T18:00:00
F-005,PASS,Forecast Integrity,No test-window leakage: every forecast_date is strictly after its entity-window train_end_date; raw forecasts preserved (306 raw negatives retained unmodified).,Independent check: 0 rows with forecast_date<=train_end_date; raw negative rows=306 present in raw forecast_value column.,No action required.,No,2026-06-13T18:00:00
F-006,PASS,Metrics Integrity,Actual-forecast join has 81720 rows with 0 missing actuals; metric table has 2724 rows (454 per model); MASE/RMSSE/wMAPE/MAPE/SMAPE/RMSE/Bias all present with 0 NaN and 0 Inf.,Independent verification of challenger_actual_forecast_join.csv and challenger_metrics_entity_window.csv; challenger_metrics_validation.csv all pass.,No action required.,No,2026-06-13T18:00:00
F-007,PASS,Metrics Integrity,Official scoring metrics are computed on adjusted_forecast_value (non-negative) not raw forecast_value.,Independent MASE/RMSSE recomputation on 5 random entity-windows using adjusted_forecast_value matched stored values to full precision (e.g. FastNeuralAR_MLP DEU-Go Local w2 MASE 1207.6156 = stored).,No action required.,No,2026-06-13T18:00:00
F-008,PASS,Denominator Policy,MASE denominator = training_only_lag1_naive_mae and RMSSE denominator = training_only_lag1_naive_mse loaded from training_only_denominators.csv; training-only (denominator_observations = training_observations - 1); no test actuals; 5.19 naive and seasonal naive explicitly disallowed.,training_only_denominators.csv columns + lag1 check passed; scoring_definitions.yaml/ranking_policy.yaml set never_use_test=true and block_519/seasonal_naive denominators=false.,No action required.,No,2026-06-13T18:00:00
F-009,PASS,Non-Negative Scoring,adjusted_forecast_value equals max(forecast_value;0); negative_forecast_flag matches raw<0 exactly; 306 negative rows; raw forecasts preserved; no raw file overwritten.,Independent check on challenger_scoring_forecasts.csv: 0 rows where adjusted differs from clip-at-zero; flag true count=306=raw negatives; adjusted negatives=0.,No action required.,No,2026-06-13T18:00:00
F-010,PASS,Aggregation Integrity,Two-stage equal-entity-weighted aggregation: canonical 2724 rows; entity/model 234 (39 entities x 6); model 6; model-level official_median_mase reproduced exactly via median-across-windows then median-across-entities; no ranking/winner/champion columns.,Independent reproduction matched all 6 stored official_median_mase values (e.g. ETS 6.90114); aggregation_significance_validation.csv all pass.,No action required.,No,2026-06-13T18:00:00
F-011,PASS,Significance Integrity,15 pairwise comparisons paired by entity (39 each) on entity-level median MASE; 10000 bootstrap iterations; deterministic seed 20260612; exact paired sign test; Benjamini-Hochberg correction; practical threshold 0.02; 12 supported / 3 inconclusive evidence labels (not rankings).,challenger_pairwise_significance.csv + report narrative confirm parameters; independent counts: supported=12 inconclusive=3; BH adjusted p >= raw p for all.,No action required.,No,2026-06-13T18:00:00
F-012,PASS,Tournament Readiness,challenger_tournament_input_manifest.csv contains metadata only (model_origin/family/availability/eligibility) with no tournament scores and no ranks; lists all 6 final challengers.,Independent scan found no rank/score/winner/champion columns; manifest rows = 6 challengers all eligible_for_tournament_consideration=True.,No action required.,No,2026-06-13T18:00:00
F-013,PASS,Scope / Safety,No rankings/tournament/champion outputs created; all challenger metrics confined to challenger_metrics and aggregation/significance to challenger_aggregation_significance; baseline and Shiny untouched.,Summary flags rankings/tournament/champion=False across status/summary CSVs; audit artifacts written only under outputs/model_lab/audit_4.,No action required.,No,2026-06-13T18:00:00
F-014,ADVISORY,FastNeuralAR_MLP Risk,FastNeuralAR_MLP shows extreme error (official median MASE 739.92 vs 6.9-16.0 for others; median RMSSE 164.6; SMAPE 1.48; large negative bias ~-17657) consistent with a scale/normalization or recursive-collapse implementation issue rather than minor underperformance. It is transparently flagged and isolated; other models' metrics/aggregation/significance are unaffected.,challenger_metrics_by_model_diagnostic.csv; challenger_aggregation_by_model.csv; challenger_outlier_risk_review.csv flags extremely_high_mase/rmsse (level=high).,"Carry the risk flag into 5.30; investigate FastNeuralAR_MLP feature scaling/recursive forecasting before treating it as a viable contender or champion. Do NOT remove without evidence of implementation invalidity.",No,2026-06-13T18:00:00
F-015,MINOR,Recovery Provenance,Pre-recovery partial_output_inventory.csv records NBEATS partial rows (900 in forecasts path / 960 in checkpoint) that were correctly excluded; the final forecasts and metrics independently contain 0 NBEATS rows.,partial_output_inventory.csv excluded_reason=excluded_partial_deferred_runtime_impractical; independent forecast scan NBEATS rows=0; metrics no_nbeats pass.,Retain provenance note; ensure 5.30 reads only challenger_official_forecasts.csv (final) and never the checkpoint/partial artifacts.,No,2026-06-13T18:00:00
F-016,ADVISORY,Tournament Readiness,Tournament input manifest includes an eligible_for_tournament_consideration boolean; this is an eligibility metadata flag (all True) and is not a ranking or score.,challenger_tournament_input_manifest.csv eligible_for_tournament_consideration=True for all 6; no numeric ordering present.,Acceptable as-is; treat eligibility purely as input gating in 5.30.,No,2026-06-13T18:00:00
