page_id,evidence_key,value_preview,sources_used
champion_overview,champion,"{""champion_name"": ""ETS Explicit"", ""champion_mase"": 6.901144, ""champion_rmsse"": 1.856193, ""total_models_evaluated"": 6.0, ""total_candidates_advanced"": 0.0, ""dl...",model_champion_comparison.csv|model_dashboard_summary.csv|model_universe_canonical.csv
champion_overview,champion_universe,"{""model_name"": ""ETS Explicit"", ""final_status"": ""selected_champion"", ""eligible_for_champion"": ""TRUE"", ""selected_champion"": ""TRUE"", ""median_mase"": 6.9011435333...",model_champion_comparison.csv|model_dashboard_summary.csv|model_universe_canonical.csv
champion_overview,governed_model_scope_rows,15,model_champion_comparison.csv|model_dashboard_summary.csv|model_universe_canonical.csv
champion_overview,challengers_vs_champion,"[{""model"": ""SMLP-TCN"", ""family"": ""lightweight_neural"", ""model_median_mase"": 18.782572, ""ratio_vs_champion"": 2.721}, {""model"": ""ENET-RIDGE"", ""family"": ""linear...",model_champion_comparison.csv|model_dashboard_summary.csv|model_universe_canonical.csv
tournament,ranking,"[{""rank"": 0.0, ""model"": ""ETS Explicit"", ""family"": ""statistical"", ""role"": ""champion_reference"", ""median_mase"": 6.901144, ""median_rmsse"": 1.856193, ""ratio_vs_c...",model_evaluation_ranking.csv|model_evaluation_summary.csv|model_runtime_guardrails.csv
tournament,evaluation_summary,"[{""model"": ""ETS Explicit"", ""role"": ""champion_reference"", ""median_mase"": 6.901144, ""ratio_vs_champion_mase"": 1.0, ""completion_status"": ""governed_reference"", ""...",model_evaluation_ranking.csv|model_evaluation_summary.csv|model_runtime_guardrails.csv
tournament,guardrail_status_counts,"{""pass"": 6}",model_evaluation_ranking.csv|model_evaluation_summary.csv|model_runtime_guardrails.csv
forecast_viewer,forecast_subset,"{""rows_total_in_artifact"": 65095, ""rows_after_filter"": 65095, ""rows_in_sample"": 5, ""distinct_entities"": 45, ""distinct_models"": [""ARIMA"", ""ExponentialSmoothin...",forecasts_with_intervals.csv
governance_risks,run_metadata,"{""run_timestamp"": ""2026-06-28T17:27:14"", ""forecast_version"": ""2026-05-01"", ""entity_count"": 45.0, ""model_count"": 16.0, ""first_actual_date"": ""2019-07-01"", ""las...",model_runtime_guardrails.csv|model_universe_canonical.csv|run_metadata.csv|ttl_months_to_live_snapshot.csv
governance_risks,ttl_snapshot,"{""entities_in_snapshot"": 45, ""ttl_status_counts"": {""Cool"": 33, ""Healthy"": 10, ""Warning"": 2}, ""binding_entities"": 45, ""months_to_live_min"": 5.23, ""months_to_l...",model_runtime_guardrails.csv|model_universe_canonical.csv|run_metadata.csv|ttl_months_to_live_snapshot.csv
governance_risks,runtime_guardrails,"{""guardrail_status_counts"": {""pass"": 6}, ""runtime_status_counts"": {""viable"": 6}}",model_runtime_guardrails.csv|model_universe_canonical.csv|run_metadata.csv|ttl_months_to_live_snapshot.csv
governance_risks,governance_scope,"{""governed_model_rows"": 15, ""models_with_risk_flag"": 0}",model_runtime_guardrails.csv|model_universe_canonical.csv|run_metadata.csv|ttl_months_to_live_snapshot.csv
