artifact,has_interval_columns,interval_columns,all_columns_sample,basename,is_forecast_timeseries,interval_type
data/processed/actuals.csv,FALSE,NA,"entity_key, date, actual_value, forecast_version, scenario, resource, source_file",actuals.csv,FALSE,none
data/processed/forecast_comparison.csv,FALSE,NA,"entity_key, date, actual_value, forecast_value, model_version, forecast_version, scenario, resource, value_type, horizon_days, horizon_bucket",forecast_comparison.csv,FALSE,none
data/processed/forecasts.csv,FALSE,NA,"entity_key, date, forecast_value, model_version, forecast_version, scenario, resource, value_type, source_file",forecasts.csv,TRUE,none
data/raw/hdd_forest_metrics.csv,FALSE,NA,"Key, Count, Mean_Actual, Mean_Forecast, MAE, RMSE, Bias, Bias_Pct, MAPE, SMAPE, Accuracy, Forecast_Version",hdd_forest_metrics.csv,FALSE,none
data/raw/hdd_region_actuals.csv,FALSE,NA,"DateTime, Key, Value, ModelVersion, ForecastVersion, Scenario, Resource, ValueType",hdd_region_actuals.csv,FALSE,none
data/raw/hdd_region_forecasts.csv,FALSE,NA,"DateTime, Key, Value, ModelVersion, ForecastVersion, Scenario, Resource, ValueType",hdd_region_forecasts.csv,FALSE,none
data/raw/hdd_region_metrics.csv,FALSE,NA,"Key, Count, Mean_Actual, Mean_Forecast, MAE, RMSE, Bias, Bias_Pct, MAPE, SMAPE, Accuracy, Forecast_Version",hdd_region_metrics.csv,FALSE,none
data/raw/ssd_phx_lvne_metrics.csv,FALSE,NA,"Key, Count, Mean_Actual, Mean_Forecast, MAE, RMSE, Bias, Bias_Pct, MAPE, SMAPE, Accuracy, Forecast_Version",ssd_phx_lvne_metrics.csv,FALSE,none
data/raw/ssd_phx_lvwe_metrics.csv,FALSE,NA,"Key, Count, Mean_Actual, Mean_Forecast, MAE, RMSE, Bias, Bias_Pct, MAPE, SMAPE, Accuracy, Forecast_Version",ssd_phx_lvwe_metrics.csv,FALSE,none
data/sample/actuals.csv,FALSE,NA,"entity_key, resource, scenario, granularity, actual_date, value, data_source",actuals.csv,FALSE,none
data/sample/forecasts.csv,FALSE,NA,"run_id, entity_key, resource, scenario, granularity, forecast_date, value, model_name, model_group, forecast_version, value_type",forecasts.csv,TRUE,none
data/sample/metrics.csv,FALSE,NA,"run_id, entity_key, model_name, model_group, horizon_bucket, mape, wmape, smape, mae, rmse, mase, mad",metrics.csv,FALSE,none
outputs/dashboard/metric_summary.csv,FALSE,NA,"source_file, row_count, avg_mape, avg_smape, avg_rmse, avg_accuracy",metric_summary.csv,FALSE,none
outputs/evaluation/backtest_window_inventory.csv,FALSE,NA,"forecast_version, row_count, unique_keys, unique_model_versions, forecast_min_datetime, forecast_max_datetime, actual_min_datetime, actual_max_datetime, dates_overlap_actuals, overlapping_forecast_dates, overlapping_keys",backtest_window_inventory.csv,FALSE,none
outputs/metrics/baseline_metrics.csv,FALSE,NA,"Key, Forecast_Version, Start_Date, End_Date, MAE, RMSE, Bias, Bias_Pct, MAPE, SMAPE, Accuracy, source_file",baseline_metrics.csv,FALSE,none
outputs/metrics/baseline_rankings.csv,FALSE,NA,"Key, Forecast_Version, model_rank_mape, model_rank_accuracy, avg_mape, avg_smape, avg_rmse, avg_accuracy",baseline_rankings.csv,FALSE,none
outputs/metrics/official_metrics_validation.csv,FALSE,NA,"source_file, file_exists, row_count, column_count, unique_keys, forecast_versions, forecast_version_count, start_date_min, start_date_max, end_date_min, end_date_max, missing_required_columns",official_metrics_validation.csv,FALSE,none
outputs/model_lab/backtesting_window_summary.csv,FALSE,NA,"entity_key, total_windows, first_train_start_date, last_train_end_date, first_test_start_date, last_test_end_date, min_train_observations, max_train_observations, min_test_observations, max_test_observations",backtesting_window_summary.csv,FALSE,none
outputs/model_lab/backtesting_windows.csv,FALSE,NA,"entity_key, window_id, train_start_date, train_end_date, test_start_date, test_end_date, train_observations, test_observations, forecast_horizon_days, validation_method, expanding_window",backtesting_windows.csv,FALSE,none
outputs/model_lab/baseline_pilot/baseline_pilot_execution_status.csv,FALSE,NA,"run_id, job_id, entity_key, window_id, model_name, status, message, created_timestamp",baseline_pilot_execution_status.csv,FALSE,none
outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv,FALSE,NA,"run_id, job_id, entity_key, window_id, model_name, model_family, forecast_date, horizon_day, forecast_value, created_timestamp",baseline_pilot_forecasts.csv,FALSE,none
outputs/model_lab/baseline_pilot/baseline_pilot_summary.csv,FALSE,NA,"run_id, entities_tested, windows_tested, models_tested, jobs_planned, jobs_executed, jobs_failed, forecast_rows, created_timestamp",baseline_pilot_summary.csv,FALSE,none
