horizon_days,row_count,series_count,model_count,is_ui_horizon
1,5902,39,13,False
2,5902,39,13,False
3,5902,39,13,False
4,5902,39,13,False
5,5902,39,13,True
6,5902,39,13,False
7,5902,39,13,False
8,5902,39,13,False
9,5902,39,13,False
10,5902,39,13,True
11,5902,39,13,False
12,5902,39,13,False
13,5902,39,13,False
14,5902,39,13,False
15,5902,39,13,True
16,5902,39,13,False
17,5902,39,13,False
18,5902,39,13,False
19,5902,39,13,False
20,5902,39,13,True
21,5902,39,13,False
22,5902,39,13,False
23,5902,39,13,False
24,5902,39,13,False
25,5902,39,13,True
26,5902,39,13,False
27,5902,39,13,False
28,5902,39,13,False
29,5902,39,13,False
30,5902,39,13,True
