metric,scenario,granularity,series_key,has_actuals,viewer_available,model_count
HDD - Basilisk,Basilisk,Forest,apcp150,True,True,15
HDD - Basilisk,Basilisk,Forest,apcp153,True,True,15
HDD - Basilisk,Basilisk,Forest,apcprd01,True,True,15
HDD - Basilisk,Basilisk,Forest,apcprd02,True,True,15
HDD - Basilisk,Basilisk,Forest,apcprd03,True,True,15
HDD - Basilisk,Basilisk,Forest,apcprd04,True,True,15
HDD - Basilisk,Basilisk,Forest,apcprd06,True,True,15
HDD - Basilisk,Basilisk,Forest,arep273,True,True,15
HDD - Basilisk,Basilisk,Forest,ausp282,True,True,15
HDD - Basilisk,Basilisk,Forest,ausp300,True,True,15
HDD - Basilisk,Basilisk,Forest,ausprd01,True,True,15
HDD - Basilisk,Basilisk,Forest,autp296,True,True,15
HDD - Basilisk,Basilisk,Forest,brap284,True,True,15
HDD - Basilisk,Basilisk,Forest,canp288,True,True,15
HDD - Basilisk,Basilisk,Forest,canprd01,True,True,15
HDD - Basilisk,Basilisk,Forest,chep278,True,True,15
HDD - Basilisk,Basilisk,Forest,chlp298,True,True,15
HDD - Basilisk,Basilisk,Forest,chnpr01,True,True,15
HDD - Basilisk,Basilisk,Forest,deup281,True,True,15
HDD - Basilisk,Basilisk,Forest,dnkp307,True,True,15
HDD - Basilisk,Basilisk,Forest,espp292,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp107,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp119,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp120,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp121,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp122,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp137,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp138,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp174,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp175,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp176,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp177,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp178,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp179,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp180,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp189,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp190,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp191,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp192,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp193,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp194,True,True,15
HDD - Basilisk,Basilisk,Forest,eurp195,True,True,15
