metric,scenario,granularity,series_key,has_actuals,forecast_only,forecast_available
HDD - Basilisk,Basilisk,Forest,apcp150,True,False,True
HDD - Basilisk,Basilisk,Forest,apcp153,True,False,True
HDD - Basilisk,Basilisk,Forest,apcprd01,True,False,True
HDD - Basilisk,Basilisk,Forest,apcprd02,True,False,True
HDD - Basilisk,Basilisk,Forest,apcprd03,True,False,True
HDD - Basilisk,Basilisk,Forest,apcprd04,True,False,True
HDD - Basilisk,Basilisk,Forest,apcprd06,True,False,True
HDD - Basilisk,Basilisk,Forest,arep273,True,False,True
HDD - Basilisk,Basilisk,Forest,ausp282,True,False,True
HDD - Basilisk,Basilisk,Forest,ausp300,True,False,True
HDD - Basilisk,Basilisk,Forest,ausprd01,True,False,True
HDD - Basilisk,Basilisk,Forest,autp296,True,False,True
HDD - Basilisk,Basilisk,Forest,brap284,True,False,True
HDD - Basilisk,Basilisk,Forest,canp288,True,False,True
HDD - Basilisk,Basilisk,Forest,canprd01,True,False,True
HDD - Basilisk,Basilisk,Forest,chep278,True,False,True
HDD - Basilisk,Basilisk,Forest,chlp298,True,False,True
HDD - Basilisk,Basilisk,Forest,chnpr01,True,False,True
HDD - Basilisk,Basilisk,Forest,deup281,True,False,True
HDD - Basilisk,Basilisk,Forest,dnkp307,True,False,True
HDD - Basilisk,Basilisk,Forest,espp292,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp107,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp119,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp120,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp121,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp122,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp137,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp138,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp174,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp175,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp176,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp177,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp178,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp179,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp180,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp189,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp190,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp191,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp192,True,False,True
HDD - Basilisk,Basilisk,Forest,eurp193,True,False,True
