model_name,in_viewer_artifact,in_forecast_artifact,in_governed_15,casing_duplicate_of,notes
ARIMA,False,True,False,Arima,Casing duplicate of the same model.
ARIMA_Fixed,True,False,True,,
Arima,False,True,False,ARIMA,Casing duplicate of the same model.
AutoARIMA,True,False,True,,
ETS Explicit,True,False,True,,
ETS_Current,True,False,True,,
ExponentialSmoothing,False,True,False,,
ExponentialSmoothing_ARIMA_Ensemble,False,True,False,,
FNAR-V2,True,False,True,,
FixedGrowth1%,False,True,False,,
FixedGrowth1%_ARIMA_Ensemble,False,True,False,,
FixedGrowth1%_ExponentialSmoothing_Ensemble,False,True,False,,
FixedGrowth1%_FixedGrowth2%_Ensemble,False,True,False,,
FixedGrowth1%_FixedGrowth3%_Ensemble,False,True,False,,
FixedGrowth1%_FixedGrowth4%_Ensemble,False,True,False,,
FixedGrowth1%_FixedGrowth5%_Ensemble,False,True,False,,
FixedGrowth1.5%,False,True,False,,
FixedGrowth2%,False,True,False,,
FixedGrowth2%_ARIMA_Ensemble,False,True,False,,
FixedGrowth2%_ExponentialSmoothing_Ensemble,False,True,False,,
FixedGrowth2%_FixedGrowth1%_Ensemble,False,True,False,,
FixedGrowth2%_FixedGrowth3%_Ensemble,False,True,False,,
FixedGrowth3%,False,True,False,,
FixedGrowth3%_ARIMA_Ensemble,False,True,False,,
FixedGrowth3%_ExponentialSmoothing_Ensemble,False,True,False,,
FixedGrowth3%_FixedGrowth2%_Ensemble,False,True,False,,
FixedGrowth4%,False,True,False,,
FixedGrowth4%_ARIMA_Ensemble,False,True,False,,
FixedGrowth4%_ExponentialSmoothing_Ensemble,False,True,False,,
FixedGrowth4%_FixedGrowth5%_Ensemble,False,True,False,,
FixedGrowth5%,False,True,False,,
FixedGrowth5%_ARIMA_Ensemble,False,True,False,,
FixedGrowth5%_ExponentialSmoothing_Ensemble,False,True,False,,
FixedGrowth5%_FixedGrowth2%_Ensemble,False,True,False,,
FixedGrowth_1_5,True,False,True,,
FixedGrowth_3,True,False,True,,
FixedGrowth_4,True,False,True,,
FixedGrowth_6,True,False,True,,
Governed Phoenix source forecast,False,True,False,,
LightGBM,True,False,True,,
LinearRegression,True,False,True,,
NLIN-DLIN_FIXED,True,False,True,,
SMLP-TCN,True,False,True,,
Theta,True,False,True,,
XGBoost,True,False,True,,
