entity_token_upper,variants_found,routes_per_variant,counted_once_as,notes
APC-DEDICATED,APC-Dedicated|apc-Dedicated,APC-Dedicated:2|apc-Dedicated:1,APC-DEDICATED,Multiple casings observed; NOT normalised in any data or join column.
APC-MSIT,APC-MSIT|apc-MSIT,APC-MSIT:2|apc-MSIT:1,APC-MSIT,Multiple casings observed; NOT normalised in any data or join column.
APC-MULTITENANT,APC-Multitenant|apc-Multitenant,APC-Multitenant:2|apc-Multitenant:1,APC-MULTITENANT,Multiple casings observed; NOT normalised in any data or join column.
APCP150,APCP150|apcp150,APCP150:4|apcp150:1,APCP150,Multiple casings observed; NOT normalised in any data or join column.
APCP153,APCP153|apcp153,APCP153:2|apcp153:1,APCP153,Multiple casings observed; NOT normalised in any data or join column.
APCPRD01,APCPRD01|apcprd01,APCPRD01:4|apcprd01:1,APCPRD01,Multiple casings observed; NOT normalised in any data or join column.
APCPRD02,APCPRD02|apcprd02,APCPRD02:4|apcprd02:1,APCPRD02,Multiple casings observed; NOT normalised in any data or join column.
APCPRD03,APCPRD03|apcprd03,APCPRD03:4|apcprd03:1,APCPRD03,Multiple casings observed; NOT normalised in any data or join column.
APCPRD04,APCPRD04|apcprd04,APCPRD04:4|apcprd04:1,APCPRD04,Multiple casings observed; NOT normalised in any data or join column.
APCPRD06,APCPRD06|apcprd06,APCPRD06:4|apcprd06:1,APCPRD06,Multiple casings observed; NOT normalised in any data or join column.
ARE-GO LOCAL,ARE-Go Local|are-Go Local,ARE-Go Local:2|are-Go Local:1,ARE-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
AREP273,AREP273|arep273,AREP273:4|arep273:1,AREP273,Multiple casings observed; NOT normalised in any data or join column.
AUS-GO LOCAL,AUS-Go Local|aus-Go Local,AUS-Go Local:2|aus-Go Local:1,AUS-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
AUSP282,AUSP282|ausp282,AUSP282:4|ausp282:1,AUSP282,Multiple casings observed; NOT normalised in any data or join column.
AUSP300,AUSP300|ausp300,AUSP300:4|ausp300:1,AUSP300,Multiple casings observed; NOT normalised in any data or join column.
AUSPRD01,AUSPRD01|ausprd01,AUSPRD01:4|ausprd01:1,AUSPRD01,Multiple casings observed; NOT normalised in any data or join column.
AUT-GO LOCAL,AUT-Go Local|aut-Go Local,AUT-Go Local:2|aut-Go Local:1,AUT-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
AUTP296,AUTP296|autp296,AUTP296:4|autp296:1,AUTP296,Multiple casings observed; NOT normalised in any data or join column.
BRA-GO LOCAL,BRA-Go Local|bra-Go Local,BRA-Go Local:2|bra-Go Local:1,BRA-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
BRAP284,BRAP284|brap284,BRAP284:4|brap284:1,BRAP284,Multiple casings observed; NOT normalised in any data or join column.
CAN-GO LOCAL,CAN-Go Local|can-Go Local,CAN-Go Local:2|can-Go Local:1,CAN-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
CANP288,CANP288|canp288,CANP288:4|canp288:1,CANP288,Multiple casings observed; NOT normalised in any data or join column.
CANPRD01,CANPRD01|canprd01,CANPRD01:4|canprd01:1,CANPRD01,Multiple casings observed; NOT normalised in any data or join column.
CHE-GO LOCAL,CHE-Go Local|che-Go Local,CHE-Go Local:2|che-Go Local:1,CHE-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
CHEP278,CHEP278|chep278,CHEP278:4|chep278:1,CHEP278,Multiple casings observed; NOT normalised in any data or join column.
CHL-GO LOCAL,CHL-Go Local|chl-Go Local,CHL-Go Local:2|chl-Go Local:1,CHL-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
CHLP298,CHLP298|chlp298,CHLP298:4|chlp298:1,CHLP298,Multiple casings observed; NOT normalised in any data or join column.
CHN-GALLATIN,chn-Gallatin,chn-Gallatin:1,CHN-GALLATIN,
CHNPR01,CHNPR01|chnpr01,CHNPR01:3|chnpr01:1,CHNPR01,Multiple casings observed; NOT normalised in any data or join column.
DEU-GO LOCAL,DEU-Go Local|deu-Go Local,DEU-Go Local:2|deu-Go Local:1,DEU-GO LOCAL,Multiple casings observed; NOT normalised in any data or join column.
DEUP281,DEUP281|deup281,DEUP281:4|deup281:1,DEUP281,Multiple casings observed; NOT normalised in any data or join column.
DNK-GO LOCAL,DNK-Go Local,DNK-Go Local:3,DNK-GO LOCAL,
DNKP307,DNKP307|dnkp307,DNKP307:4|dnkp307:1,DNKP307,Multiple casings observed; NOT normalised in any data or join column.
ESP-GO LOCAL,ESP-Go Local,ESP-Go Local:3,ESP-GO LOCAL,
ESPP292,ESPP292|espp292,ESPP292:4|espp292:1,ESPP292,Multiple casings observed; NOT normalised in any data or join column.
EUR-DEDICATED,EUR-Dedicated|eur-Dedicated,EUR-Dedicated:2|eur-Dedicated:1,EUR-DEDICATED,Multiple casings observed; NOT normalised in any data or join column.
EUR-GO LOCAL,EUR-Go Local,EUR-Go Local:3,EUR-GO LOCAL,
EUR-MSIT,EUR-MSIT|eur-MSIT,EUR-MSIT:2|eur-MSIT:1,EUR-MSIT,Multiple casings observed; NOT normalised in any data or join column.
EUR-MULTITENANT,EUR-Multitenant|eur-Multitenant,EUR-Multitenant:2|eur-Multitenant:1,EUR-MULTITENANT,Multiple casings observed; NOT normalised in any data or join column.
EURP107,EURP107|eurp107,EURP107:4|eurp107:1,EURP107,Multiple casings observed; NOT normalised in any data or join column.
EURP119,EURP119|eurp119,EURP119:4|eurp119:1,EURP119,Multiple casings observed; NOT normalised in any data or join column.
EURP120,EURP120|eurp120,EURP120:4|eurp120:1,EURP120,Multiple casings observed; NOT normalised in any data or join column.
EURP121,EURP121|eurp121,EURP121:4|eurp121:1,EURP121,Multiple casings observed; NOT normalised in any data or join column.
EURP122,EURP122|eurp122,EURP122:4|eurp122:1,EURP122,Multiple casings observed; NOT normalised in any data or join column.
EURP137,EURP137|eurp137,EURP137:4|eurp137:1,EURP137,Multiple casings observed; NOT normalised in any data or join column.
EURP138,EURP138|eurp138,EURP138:4|eurp138:1,EURP138,Multiple casings observed; NOT normalised in any data or join column.
EURP174,EURP174|eurp174,EURP174:2|eurp174:1,EURP174,Multiple casings observed; NOT normalised in any data or join column.
