"rule_id","rule","applies_to","gates_which_flag","rationale","cases_admitted","cases_excluded","owner_decision_ref"
"R1_OPERATIONAL_PREPARED_ARTIFACT","Admit every operational route x key case that resolves to real rows in the V6.17 prepared artifacts","HDD EDB routes","all three flags","These are the governed operational routes with no exception attached.",394,0,"D1, D4"
"R2_LEGACY_VARIANT_PRESERVED","Admit SSD Phoenix under its inherited prepared variants Low Volume With Efficiency and Low Volume No Efficiency, labelled LEGACY_VARIANT","SSD Phoenix Forest routes","build_forecast only","The prepared artifact carries these variants. No governed Organic/Inorganic mapping exists, so none is claimed.",298,2,"D2"
"R3_GOVERNED_EXCEPTION_BASILISK","Admit HDD Basilisk despite the catalog marking its serving view empty, under the governed exception CATALOG_SERVING_EMPTY_BUT_OPERATIONAL_ARTIFACT_AVAILABLE","HDD Basilisk Forest and Region","all three flags","A working operational artifact exists locally with 202 cases and 75-79 days of history. Source precedence applies.",202,0,"D3"
"R4_HISTORY_DEPTH_GATE","build_viewer requires history_depth >= 60 distinct dates carrying a non-null actual value","Cases with actuals","build_viewer, and build_accuracy transitively","Local equivalent of the E11 observation-count gate, which required SQL and is not reproducible here. Value chosen from the measured distribution.",596,0,"D4, threshold recommendation"
"R5_STALENESS_GATE","build_viewer applies no staleness limit at the recommended default","Cases with actuals","build_viewer","Any limit of 60 days or tighter eliminates both Basilisk routes, contradicting D3.",596,0,"D3, D4"
"R6_FORECAST_INDEPENDENT_OF_HISTORY","build_forecast is TRUE whenever the case resolves to real forward forecast rows, regardless of history_depth or staleness","All cases","build_forecast","A forecast-only case must never be excluded for having no history. This is the rule that keeps the 298 forecast-only cases in scope.",894,0,"D4"
"R7_ACCURACY_REQUIRES_VIEWER","build_accuracy requires build_viewer AND presence in v6_21b_accuracy_metrics.parquet","Cases with actuals","build_accuracy","Accuracy metrics are derived from the same backtest pairs the Viewer renders.",596,0,"D4"
"R8_QUARANTINE_INVALID_ENTITY","Exclude the entity token PROD from the cohort entirely","SSD Phoenix Forest","all three flags","PROD is not a forest identifier. It appears in the forecast metadata twice and in the Viewer metadata zero times.",0,2,"D2"
"R9_DECLARE_NEVER_FABRICATE","CPU and IOPS routes are declared as SQL_REQUIRED and Memory as NOT_ROUTABLE, with no data row created","CPU, IOPS, Memory","none","No governed local extract exists. Fabricating a row would be worse than an honest gap.",0,0,"D4"
"R10_ROUTE_IS_PART_OF_IDENTITY","case_id is route_id plus entity_value, never entity_value alone","All cases","case identity","197 of the 391 series_key tokens exist in more than one route and are different time series.",894,0,"F2"
