metric,route_id,db_type,demand_nature,prepared_scenario,segment,granularity,key_entity,selection_path,source_artifacts,has_actuals,actual_observation_count,first_actual_date,last_actual_date,passes_50_actuals,has_backtest_estimates,governed_model_count,governed_model_names,has_all_15_governed_models,backtest_row_count,horizons_available,has_forecast_values,forecast_row_count,forecast_model_count,forecast_model_names,first_forecast_date,last_forecast_date,forward_actual_row_count,viewer_complete,forecast_complete,product_complete,missing_reason,can_build_from_local_artifacts,requires_sql_or_tesseract,recommended_next_action
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcp150,HDD -> Organic -> Basilisk -> Forest -> apcp150,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcp153,HDD -> Organic -> Basilisk -> Forest -> apcp153,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcprd01,HDD -> Organic -> Basilisk -> Forest -> apcprd01,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcprd02,HDD -> Organic -> Basilisk -> Forest -> apcprd02,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcprd03,HDD -> Organic -> Basilisk -> Forest -> apcprd03,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcprd04,HDD -> Organic -> Basilisk -> Forest -> apcprd04,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,apcprd06,HDD -> Organic -> Basilisk -> Forest -> apcprd06,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,arep273,HDD -> Organic -> Basilisk -> Forest -> arep273,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,ausp282,HDD -> Organic -> Basilisk -> Forest -> ausp282,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
HDD,HDD|Organic|Basilisk|Forest,Basilisk,Organic,,,Forest,ausp300,HDD -> Organic -> Basilisk -> Forest -> ausp300,forecast_viewer_model_outputs_v2_full.parquet|forecast_forward_outputs_v6_17_full.parquet,True,79,2026-03-08,2026-05-25,True,True,15,ARIMA_Fixed|AutoARIMA|ETS Explicit|ETS_Current|FNAR-V2|FixedGrowth_1_5|FixedGrowth_3|FixedGrowth_4|FixedGrowth_6|LightGBM|LinearRegression|NLIN-DLIN_FIXED|SMLP-TCN|Theta|XGBoost,True,2250,1-30,True,732,1,FixedGrowth1.5%,2026-08-12,2028-08-12,144,True,True,True,,N/A,FALSE,Eligible for the product cohort today.
