metric,scenario_ui_label,granularity,model_type,raw_type
HDD - EDB,Enterprise,Region,actual,actual
HDD - EDB,Enterprise,Region,Arima,ARIMA
HDD - EDB,Enterprise,Region,ExponentialSmoothing,ExponentialSmoothing
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth4%_Ensemble,FixedGrowth1%_FixedGrowth4%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth4%_ARIMA_Ensemble,FixedGrowth4%_ARIMA_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth1%,FixedGrowth1%
HDD - EDB,Enterprise,Region,FixedGrowth3%_ExponentialSmoothing_Ensemble,FixedGrowth3%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_ARIMA_Ensemble,FixedGrowth2%_ARIMA_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth5%_ExponentialSmoothing_Ensemble,FixedGrowth5%_ExponentialSmoothing_Ensemble
HDD - EDB,Enterprise,Region,ExponentialSmoothing_ARIMA_Ensemble,ExponentialSmoothing_ARIMA_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth5%_ARIMA_Ensemble,FixedGrowth5%_ARIMA_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%,FixedGrowth2%
HDD - EDB,Enterprise,Region,FixedGrowth5%,FixedGrowth5%
HDD - EDB,Enterprise,Region,FixedGrowth1%_FixedGrowth2%_Ensemble,FixedGrowth1%_FixedGrowth2%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%_ARIMA_Ensemble,FixedGrowth3%_ARIMA_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%_FixedGrowth1%_Ensemble,FixedGrowth3%_FixedGrowth1%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_FixedGrowth3%_Ensemble,FixedGrowth2%_FixedGrowth3%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth2%_FixedGrowth1%_Ensemble,FixedGrowth2%_FixedGrowth1%_Ensemble
HDD - EDB,Enterprise,Region,FixedGrowth3%,FixedGrowth3%
