metric,scenario_ui_label,granularity,key
HDD - EDB,Enterprise,Region,EUR-Go Local
HDD - EDB,Enterprise,Region,DNK-Go Local
HDD - EDB,Enterprise,Region,NAM-ITAR DoD
HDD - EDB,Enterprise,Region,KOR-Go Local
HDD - EDB,Enterprise,Region,SGP-Go Local
HDD - EDB,Enterprise,Region,BRA-Go Local
HDD - EDB,Enterprise,Region,ARE-Go Local
HDD - EDB,Enterprise,Region,EUR-Dedicated
HDD - EDB,Enterprise,Region,NOR-Go Local
HDD - EDB,Enterprise,Region,LAM-Multitenant
HDD - EDB,Enterprise,Region,AUS-Go Local
HDD - EDB,Enterprise,Region,ITA-Go Local
HDD - EDB,Enterprise,Region,NZL-Go Local
HDD - EDB,Enterprise,Region,ZAF-Go Local
HDD - EDB,Enterprise,Region,EUR-MSIT
HDD - EDB,Enterprise,Region,IND-Go Local
HDD - EDB,Enterprise,Region,MEX-Go Local
HDD - EDB,Enterprise,Region,APC-MSIT
HDD - EDB,Enterprise,Region,SWE-Go Local
HDD - EDB,Enterprise,Region,AUT-Go Local
HDD - EDB,Enterprise,Region,CAN-Go Local
HDD - EDB,Enterprise,Region,NAM-Dedicated
HDD - EDB,Enterprise,Region,MYS-Go Local
HDD - EDB,Enterprise,Region,POL-Go Local
HDD - EDB,Enterprise,Region,ISR-Go Local
HDD - EDB,Enterprise,Region,NAM-Multitenant
HDD - EDB,Enterprise,Region,NAM-SDF
HDD - EDB,Enterprise,Region,APC-Dedicated
HDD - EDB,Enterprise,Region,QAT-Go Local
HDD - EDB,Enterprise,Region,NAM-MSIT
HDD - EDB,Enterprise,Region,APC-Multitenant
HDD - EDB,Enterprise,Region,CHL-Go Local
HDD - EDB,Enterprise,Region,CHE-Go Local
HDD - EDB,Enterprise,Region,NAM-TDF
HDD - EDB,Enterprise,Region,EUR-Multitenant
HDD - EDB,Enterprise,Region,JPN-Go Local
HDD - EDB,Enterprise,Region,ESP-Go Local
HDD - EDB,Enterprise,Region,DEU-Go Local
HDD - EDB,Enterprise,Region,NAM-GCC Low
HDD - EDB,Enterprise,Region,NAM-ITAR GCCH
HDD - EDB,Enterprise,Region,GBR-Go Local
HDD - EDB,Enterprise,Region,IDN-Go Local
HDD - EDB,Enterprise,Region,GBR-Dedicated
HDD - EDB,Enterprise,Region,FRA-Go Local
HDD - EDB,Enterprise,Region,TWN-Go Local
HDD - EDB,Consumer,Region,NAM-GCC Low
HDD - EDB,Consumer,Region,APC-MSIT
HDD - EDB,Consumer,Region,MEX-Go Local
HDD - EDB,Consumer,Region,EUR-MSIT
HDD - EDB,Consumer,Region,QAT-Go Local
HDD - EDB,Consumer,Region,NAM-MSIT
HDD - EDB,Consumer,Region,EUR-Dedicated
HDD - EDB,Consumer,Region,IDN-Go Local
HDD - EDB,Consumer,Region,GBR-Dedicated
HDD - EDB,Consumer,Region,NAM-ITAR GCCH
HDD - EDB,Consumer,Region,NAM-ITAR DoD
HDD - EDB,Consumer,Region,DNK-Go Local
HDD - EDB,Consumer,Region,ARE-Go Local
HDD - EDB,Consumer,Region,NAM-Dedicated
HDD - EDB,Consumer,Region,ZAF-Go Local
HDD - EDB,Consumer,Region,SGP-Go Local
HDD - EDB,Consumer,Region,NAM-SDF
HDD - EDB,Consumer,Region,AUS-Go Local
HDD - EDB,Consumer,Region,ITA-Go Local
HDD - EDB,Consumer,Region,SWE-Go Local
HDD - EDB,Consumer,Region,NAM-TDF
HDD - EDB,Consumer,Region,LAM-Multitenant
HDD - EDB,Consumer,Region,APC-Dedicated
HDD - EDB,Consumer,Region,POL-Go Local
HDD - EDB,Consumer,Region,ISR-Go Local
HDD - EDB,Consumer,Region,IND-Go Local
HDD - EDB,Consumer,Region,GBR-Go Local
HDD - EDB,Consumer,Region,FRA-Go Local
HDD - EDB,Consumer,Region,APC-Multitenant
HDD - EDB,Consumer,Region,ESP-Go Local
HDD - EDB,Consumer,Region,CHE-Go Local
HDD - EDB,Consumer,Region,EUR-Go Local
HDD - EDB,Consumer,Region,KOR-Go Local
HDD - EDB,Consumer,Region,JPN-Go Local
HDD - EDB,Consumer,Region,DEU-Go Local
HDD - EDB,Consumer,Region,EUR-Multitenant
HDD - EDB,Consumer,Region,NZL-Go Local
HDD - EDB,Consumer,Region,CHL-Go Local
HDD - EDB,Consumer,Region,AUT-Go Local
HDD - EDB,Consumer,Region,MYS-Go Local
HDD - EDB,Consumer,Region,NOR-Go Local
HDD - EDB,Consumer,Region,TWN-Go Local
HDD - EDB,Consumer,Region,BRA-Go Local
HDD - EDB,Consumer,Region,NAM-Multitenant
HDD - EDB,Consumer,Region,CAN-Go Local
HDD - Basilisk,Basilisk,Region,lam-Multitenant
HDD - Basilisk,Basilisk,Region,DNK-Go Local
HDD - Basilisk,Basilisk,Region,apc-Dedicated
HDD - Basilisk,Basilisk,Region,twn-Go Local
HDD - Basilisk,Basilisk,Region,chn-Gallatin
HDD - Basilisk,Basilisk,Region,ISR-Go Local
HDD - Basilisk,Basilisk,Region,idn-Go Local
HDD - Basilisk,Basilisk,Region,nam-TDF
HDD - Basilisk,Basilisk,Region,nam-GCC Low
HDD - Basilisk,Basilisk,Region,sgp-Go Local
HDD - Basilisk,Basilisk,Region,GBR-Go Local
HDD - Basilisk,Basilisk,Region,nam-SDF
HDD - Basilisk,Basilisk,Region,apc-Multitenant
HDD - Basilisk,Basilisk,Region,aus-Go Local
HDD - Basilisk,Basilisk,Region,nam-Multitenant
HDD - Basilisk,Basilisk,Region,ESP-Go Local
HDD - Basilisk,Basilisk,Region,nam-ITAR GCCH
HDD - Basilisk,Basilisk,Region,mys-Go Local
HDD - Basilisk,Basilisk,Region,chl-Go Local
HDD - Basilisk,Basilisk,Region,qat-Go Local
HDD - Basilisk,Basilisk,Region,swe-Go Local
HDD - Basilisk,Basilisk,Region,EUR-Go Local
HDD - Basilisk,Basilisk,Region,aut-Go Local
HDD - Basilisk,Basilisk,Region,MEX-Go Local
HDD - Basilisk,Basilisk,Region,gbr-Dedicated
HDD - Basilisk,Basilisk,Region,ITA-Go Local
HDD - Basilisk,Basilisk,Region,nzl-Go Local
HDD - Basilisk,Basilisk,Region,POL-Go Local
HDD - Basilisk,Basilisk,Region,nam-ITAR DoD
HDD - Basilisk,Basilisk,Region,can-Go Local
