entity_key,date,target,lag_1,lag_7,lag_14,lag_30,lag_60,lag_90,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,year,month,quarter,day_of_month,day_of_week,week_of_year,is_month_start,is_month_end
APC-Dedicated,2019-07-01,120.227,,,,,,,,,,,2019,7,3,1,0,27,1,0
APC-Dedicated,2019-07-02,120.873,120.227,,,,,,,,,,2019,7,3,2,1,27,0,0
APC-Dedicated,2019-07-03,121.788,120.873,,,,,,,,,,2019,7,3,3,2,27,0,0
APC-Dedicated,2019-07-04,122.638,121.788,,,,,,,,,,2019,7,3,4,3,27,0,0
APC-Dedicated,2019-07-05,123.561,122.638,,,,,,,,,,2019,7,3,5,4,27,0,0
APC-Dedicated,2019-07-06,123.721,123.561,,,,,,,,,,2019,7,3,6,5,27,0,0
APC-Dedicated,2019-07-07,123.824,123.721,,,,,,,,,,2019,7,3,7,6,27,0,0
APC-Dedicated,2019-07-08,124.545,123.824,120.227,,,,,122.376,1.4492269203498211,,,2019,7,3,8,0,28,0,0
APC-Dedicated,2019-07-09,125.24,124.545,120.873,,,,,122.99285714285715,1.2925635288798833,,,2019,7,3,9,1,28,0,0
APC-Dedicated,2019-07-10,126.089,125.24,121.788,,,,,123.61671428571428,1.144246144015854,,,2019,7,3,10,2,28,0,0
APC-Dedicated,2019-07-11,126.785,126.089,122.638,,,,,124.23114285714284,1.1533385493963562,,,2019,7,3,11,3,28,0,0
APC-Dedicated,2019-07-12,127.568,126.785,123.561,,,,,124.82357142857144,1.2588632249166238,,,2019,7,3,12,4,28,0,0
APC-Dedicated,2019-07-13,127.59,127.568,123.721,,,,,125.396,1.480568584474619,,,2019,7,3,13,5,28,0,0
APC-Dedicated,2019-07-14,127.85,127.59,123.824,,,,,125.9487142857143,1.4732084842598032,,,2019,7,3,14,6,28,0,0
APC-Dedicated,2019-07-15,128.533,127.85,124.545,120.227,,,,126.52385714285712,1.2784763625204858,,,2019,7,3,15,0,29,0,0
APC-Dedicated,2019-07-16,129.147,128.533,125.24,120.873,,,,127.09357142857142,1.129584710877144,,,2019,7,3,16,1,29,0,0
APC-Dedicated,2019-07-17,130.212,129.147,126.089,121.788,,,,127.65171428571428,1.0211062161997018,,,2019,7,3,17,2,29,0,0
APC-Dedicated,2019-07-18,130.584,130.212,126.785,122.638,,,,128.2407142857143,1.1503975710285204,,,2019,7,3,18,3,29,0,0
APC-Dedicated,2019-07-19,130.725,130.584,127.568,123.561,,,,128.78342857142857,1.2416789516808915,,,2019,7,3,19,4,29,0,0
APC-Dedicated,2019-07-20,131.1815,130.725,127.59,123.721,,,,129.23442857142857,1.2986676322475121,,,2019,7,3,20,5,29,0,0
APC-Dedicated,2019-07-21,131.638,131.1815,127.85,123.824,,,,129.74749999999997,1.2492311969099545,,,2019,7,3,21,6,29,0,0
APC-Dedicated,2019-07-22,132.324,131.638,128.533,124.545,,,,130.28864285714286,1.1020515986968205,,,2019,7,3,22,0,30,0,0
APC-Dedicated,2019-07-23,133.518,132.324,129.147,125.24,,,,130.83021428571428,1.0242400376677487,,,2019,7,3,23,1,30,0,0
APC-Dedicated,2019-07-24,133.913,133.518,130.212,126.089,,,,131.4546428571429,1.1515214831648453,,,2019,7,3,24,2,30,0,0
