series_key,model_name,model_family,horizon,n_points,MAE,RMSE,wMAPE,signed_bias,error_variability,std_score_MAE
NAM-Multitenant,FastNeuralAR_MLP,lightweight_neural,30,12,2460094.0635,2489003.5197,99.9981,-2460094.0635,378253.5127,343.741
EUR-Multitenant,FastNeuralAR_MLP,lightweight_neural,30,12,1983189.4513,2005636.1255,99.9978,-1983189.4513,299225.447,277.061
NAM-Multitenant,ARIMA_Fixed,statistical,30,12,1870680.8823,5823006.675,76.0396,-1652434.2504,5583624.9681,261.33
EUR-Multitenant,ARIMA_Fixed,statistical,30,12,1321362.9497,3865674.5212,66.6267,-1202857.9676,3673768.1219,184.525
AUS-Go Local,ARIMA_Fixed,statistical,30,12,660770.1511,2208250.5763,260.6114,-617478.9572,2120162.811,92.161
NAM-Multitenant,ETS_Current,statistical,30,12,527409.9699,1371127.532,21.4382,-307831.1085,1336125.2628,73.515
APC-Multitenant,FastNeuralAR_MLP,lightweight_neural,30,12,519929.2236,525035.6474,99.9924,-519929.2236,73048.1586,72.469
APC-Multitenant,ARIMA_Fixed,statistical,30,12,386999.6468,1241257.7263,74.4275,-339512.0082,1193923.0878,53.883
EUR-Multitenant,ETS_Current,statistical,30,12,360727.1195,906061.2932,18.1888,-230670.9788,876206.5775,50.21
IND-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,336265.2888,337570.596,99.9911,-336265.2888,29657.4245,46.79
JPN-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,299656.8503,300311.7443,99.9882,-299656.8503,19822.1047,41.671
GBR-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,250461.7665,250904.4866,99.2576,-250461.7665,14898.4862,34.793
AUS-Go Local,FastNeuralAR_MLP,lightweight_neural,30,12,240401.011,250319.4592,94.8155,-240401.011,69765.2173,33.386
NAM-Multitenant,FixedGrowth_6,growth_baseline,30,12,235640.6785,394512.0704,9.5783,80004.9513,386314.6146,32.72
NAM-Multitenant,LinearRegression,machine_learning,30,12,200679.7822,419954.7996,8.1572,-51818.8193,416745.5383,27.832
