cohort_id,series_id,metric,db_type,variant_contract,scenario,segment,granularity,key,route_path,ui_filter_path
V6_24_MVP_0001,HDD__Basilisk__NA__Forest__apcp150,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,apcp150,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=apcp150
V6_24_MVP_0002,HDD__Basilisk__NA__Forest__chnpr01,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,chnpr01,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=chnpr01
V6_24_MVP_0003,HDD__Basilisk__NA__Forest__eurp180,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,eurp180,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=eurp180
V6_24_MVP_0004,HDD__Basilisk__NA__Forest__eurprd07,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,eurprd07,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=eurprd07
V6_24_MVP_0005,HDD__Basilisk__NA__Forest__jpnprd01,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,jpnprd01,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=jpnprd01
V6_24_MVP_0006,HDD__Basilisk__NA__Forest__namp113,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,namp113,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp113
V6_24_MVP_0007,HDD__Basilisk__NA__Forest__namp157,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,namp157,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp157
V6_24_MVP_0008,HDD__Basilisk__NA__Forest__namp222,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,namp222,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp222
V6_24_MVP_0009,HDD__Basilisk__NA__Forest__namprd15,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Forest,namprd15,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namprd15
V6_24_MVP_0010,HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Region,GBR-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=GBR-Go Local
