artifact,path,role,rows,ncols,columns,key_count,version_count,bytes,last_write,sha256,status
hdd_region_forecasts,data/raw/hdd_region_forecasts.csv,producer_input_fact_forecast,65095,8,DateTime|Key|Value|ModelVersion|ForecastVersion|Scenario|Resource|ValueType,45,1,6940326,2026-06-10T09:22:29,07391AA98EC495296AD8E86E64E0456ECCED488D381BD654658800339D7365C0,FROZEN
hdd_region_actuals,data/raw/hdd_region_actuals.csv,producer_input_fact_actuals,84537,8,DateTime|Key|Value|ModelVersion|ForecastVersion|Scenario|Resource|ValueType,45,1,7291991,2026-06-10T09:22:30,A5443CD6820D4A7C77E1C0105844A351CEF991AE1D5F4C7D2952E988E483F25E,FROZEN
hdd_region_metrics,data/raw/hdd_region_metrics.csv,producer_input_metrics,2550,15,Key|Count|Mean_Actual|Mean_Forecast|MAE|RMSE|Bias|Bias_Pct|MAPE|SMAPE|Accuracy|Forecast_Version|Start_Date|End_Date|Execution_Date,45,3,347353,2026-06-10T10:25:16,DDD65E57A4775D845807067DAC66366F6ED2641AC153CA4450ECD49B57881861,FROZEN
hdd_forest_metrics,data/raw/hdd_forest_metrics.csv,producer_input_metrics,8828,15,Key|Count|Mean_Actual|Mean_Forecast|MAE|RMSE|Bias|Bias_Pct|MAPE|SMAPE|Accuracy|Forecast_Version|Start_Date|End_Date|Execution_Date,155,3,1231265,2026-06-10T10:25:17,C67AE6A61156E6A8A44D6D752E0B47ACFAC84C64C4D8F88702285258EB6F5142,FROZEN
ssd_phx_lvwe_metrics,data/raw/ssd_phx_lvwe_metrics.csv,producer_input_metrics,7776,15,Key|Count|Mean_Actual|Mean_Forecast|MAE|RMSE|Bias|Bias_Pct|MAPE|SMAPE|Accuracy|Forecast_Version|Start_Date|End_Date|Execution_Date,137,1,1013528,2026-06-10T10:25:17,C6F4AE7A5C09F0B4AB1F88501283740605672DBED6901BD211415D87B2A08025,FROZEN
ssd_phx_lvne_metrics,data/raw/ssd_phx_lvne_metrics.csv,producer_input_metrics,7913,15,Key|Count|Mean_Actual|Mean_Forecast|MAE|RMSE|Bias|Bias_Pct|MAPE|SMAPE|Accuracy|Forecast_Version|Start_Date|End_Date|Execution_Date,137,1,1035582,2026-06-10T10:25:18,3CC8FFD1FC49039F64ACC372E1D7B97EC381ED455884FC2D273715B55B04BCFD,FROZEN
forecasts,data/processed/forecasts.csv,governed_contract_legacy,65095,9,entity_key|date|forecast_value|model_version|forecast_version|scenario|resource|value_type|source_file,45,1,8559916,2026-06-30T09:57:01,46AA73D404189EFDC38C21EBA181A7C6573C8F3C536FC0CD7626F80951611A36,FROZEN_MUST_NOT_CHANGE
actuals,data/processed/actuals.csv,governed_contract_legacy,84537,7,entity_key|date|actual_value|forecast_version|scenario|resource|source_file,45,1,7359186,2026-06-30T09:57:01,427A153BFFDAD54B5280F5CECFA760535849A1ABD5A6F6A32168E7883EEB4536,FROZEN_MUST_NOT_CHANGE
forecast_comparison,data/processed/forecast_comparison.csv,governed_contract_legacy_empty,0,11,entity_key|date|actual_value|forecast_value|model_version|forecast_version|scenario|resource|value_type|horizon_days|horizon_bucket,0,0,133,2026-06-30T09:57:01,5A5D6733BB7BB6AE67133794AE3E5C1569C1A1115C5C89ADECDFF3099C0792F8,FROZEN_HEADER_ONLY
entities,data/processed/entities.csv,governed_contract_legacy,45,8,entity_key|first_actual_date|last_actual_date|first_forecast_date|last_forecast_date|actual_rows|forecast_rows|model_count,45,0,3259,2026-06-30T09:57:01,9B36102B3616C55630E8E8F5854F86E8186AB5BF537C72831D5661A9FDE8D07C,FROZEN_MUST_NOT_CHANGE
run_metadata,data/processed/run_metadata.csv,governed_contract_legacy,1,12,run_timestamp|forecast_version|actual_rows|forecast_rows|comparison_rows|entity_count|model_count|first_actual_date|last_actual_date|first_forecast_date|last_forecast_date|notes,0,1,412,2026-06-30T09:57:01,A08E4D170FB4A093022170204BCBD28679548A024B769F9C0973E2A43F8E0C4E,FROZEN_MUST_NOT_CHANGE
forecast_viewer_model_outputs,data/processed/forecast_viewer_model_outputs.csv,shiny_accuracy_and_viewer_source,204300,21,series_key|series_label|date|actual_value|model_name|model_origin|model_family|forecast_value|forecast_type|horizon_days|forecast_start_date|run_id|source_artifact|is_baseline|is_challenger|is_deferred|is_selected_champion|risk_status|lower_bound|upper_bound|interval_level,39,0,51467614,2026-06-26T13:56:54,BC681C6543E75492ED13946455ED2B597AEF15F9BAEA560103426E98F9B090D2,FROZEN_MUST_NOT_CHANGE
baseline_metrics,outputs/metrics/baseline_metrics.csv,governed_output_defective,27067,14,Key|Forecast_Version|Start_Date|End_Date|MAE|RMSE|Bias|Bias_Pct|MAPE|SMAPE|Accuracy|source_file|horizon_days|horizon_bucket,269,7,3272723,2026-06-10T10:34:02,2172BED1B4FE6F74B45072FFC9BA7824F213001C7E3732888F8FC23976D7DF46,FROZEN_SUPERSEDE_NOT_OVERWRITE
baseline_rankings,outputs/metrics/baseline_rankings.csv,governed_output_defective,736,8,Key|Forecast_Version|model_rank_mape|model_rank_accuracy|avg_mape|avg_smape|avg_rmse|avg_accuracy,269,7,64939,2026-06-10T10:34:02,83AA360B96363BED542BCE7BDAF8E72999D077606559B9F80147E60546D861D3,FROZEN_SUPERSEDE_NOT_OVERWRITE
