cohort_id,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,ui_filter_path,source,p3_extraction_status,raw_parquet_relative_path,row_count,min_date,max_date,observed_series,freshness_status,has_15_governed_backtests,ui_visible_now,caveat
MVP001,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,apcp150,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=apcp150,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP002,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,chnpr01,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=chnpr01,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP003,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurp180,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=eurp180,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP004,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurprd07,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=eurprd07,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP005,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,jpnprd01,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=jpnprd01,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP006,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp113,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp113,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP007,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp157,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp157,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP008,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp222,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namp222,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP009,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namprd15,HDD|Organic|Basilisk|Forest,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Forest > Key=namprd15,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP010,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,GBR-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=GBR-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,75,2026-03-10,2026-05-23,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP011,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,ITA-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=ITA-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP012,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,are-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=are-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP013,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,chl-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=chl-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP014,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,fra-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=fra-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP015,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,kor-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=kor-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP016,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nam-ITAR GCCH,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=nam-ITAR GCCH,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
MVP017,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,nzl-Go Local,HDD|Organic|Basilisk|Region,Metric=HDD > DBType=Basilisk > Segment=NOT_APPLICABLE > Granularity=Region > Key=nzl-Go Local,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,1,CURRENT,TRUE,TRUE,"None. Actuals, all 15 governed backtests and forecast already local."
