calibration_grain,series_key,horizon_bucket,n_residuals,q025,q10,q90,q975,resource,_g
entity_key_x_horizon_bucket,APC-Dedicated,15_30,2496,-999.3444008330706,-535.8169799321863,382.72486668470333,1546.014275817632,,
entity_key_x_horizon_bucket,APC-Dedicated,1_7,1092,-410.88744487877034,-49.87907282419991,48.38349181893822,873.282683375455,,
entity_key_x_horizon_bucket,APC-Dedicated,8_14,1092,-459.38947683552277,-194.17776525956359,176.96380931007613,1215.8702669406182,,
entity_key_x_horizon_bucket,APC-MSIT,15_30,2496,-312.5688582093119,-179.8020249812687,169.83972454811033,853.2449415218653,,
entity_key_x_horizon_bucket,APC-MSIT,1_7,1092,-146.202573218456,-42.86635024079992,92.54639179359081,1947.2619587597708,,
entity_key_x_horizon_bucket,APC-MSIT,8_14,1092,-189.3866131852036,-121.68213598088323,148.59041648125012,1454.2317835743515,,
entity_key_x_horizon_bucket,APC-Multitenant,15_30,2496,-27124.51684225144,-12281.574166693026,197513.0513963866,579984.3123668615,,
entity_key_x_horizon_bucket,APC-Multitenant,1_7,1092,-4546.28698079937,-2202.937195561535,139257.8195597775,554647.7733405125,,
entity_key_x_horizon_bucket,APC-Multitenant,8_14,1092,-9787.593647080032,-5663.312739746558,191540.61750985152,563558.109345432,,
entity_key_x_horizon_bucket,ARE-Go Local,15_30,2496,-10754.954049095762,-2423.874036477464,4908.00704107952,48554.597668040806,,
entity_key_x_horizon_bucket,ARE-Go Local,1_7,1092,-970.7407847712673,-422.97108692949763,1396.9419314563402,40619.536904441826,,
entity_key_x_horizon_bucket,ARE-Go Local,8_14,1092,-1911.1044275458742,-1022.1357904099822,2983.8743742753936,44309.636790489,,
entity_key_x_horizon_bucket,AUS-Go Local,15_30,2496,-12403.980551374283,-7510.284851293662,251754.09738717068,275892.6903710743,,
entity_key_x_horizon_bucket,AUS-Go Local,1_7,1092,-3234.387281116427,-1647.1645442356878,192195.85856672173,270289.08674928127,,
entity_key_x_horizon_bucket,AUS-Go Local,8_14,1092,-5624.411687175785,-3464.8907070689193,249478.2753856728,278732.9691439994,,
entity_key_x_horizon_bucket,BRA-Go Local,15_30,2496,-2257.7357140661215,-1386.9297914052877,1711.428510288486,49533.94635606074,,
entity_key_x_horizon_bucket,BRA-Go Local,1_7,1092,-493.1981687061465,-258.5960206653581,553.3234363694979,45926.689690225256,,
entity_key_x_horizon_bucket,BRA-Go Local,8_14,1092,-1148.1700637470879,-719.6403388100326,1052.7202226579102,48849.43392391875,,
entity_key_x_horizon_bucket,CAN-Go Local,15_30,2496,-6632.159308855978,-3932.358429673637,17120.963516030737,159742.3350861415,,
entity_key_x_horizon_bucket,CAN-Go Local,1_7,1092,-1627.0449766485478,-856.3835139780567,12793.272982068014,153758.66802120727,,
entity_key_x_horizon_bucket,CAN-Go Local,8_14,1092,-3165.0404328097034,-2059.023297074504,16370.105743481186,158826.24857458158,,
entity_key_x_horizon_bucket,CHE-Go Local,15_30,2496,-1251.2025264287645,-679.1313582293351,2005.921027385375,32771.47605371045,,
entity_key_x_horizon_bucket,CHE-Go Local,1_7,1092,-254.07080275201088,-109.26513000606064,683.3660092738959,25164.341009900116,,
entity_key_x_horizon_bucket,CHE-Go Local,8_14,1092,-570.4780584978621,-293.1360854165414,1263.755559858012,28322.393744981346,,
entity_key_x_horizon_bucket,DEU-Go Local,15_30,2496,-2646.923069981516,-1241.5668327460226,6631.289199550978,85314.0662875502,,
entity_key_x_horizon_bucket,DEU-Go Local,1_7,1092,-647.6913436084803,-310.96558387690015,5085.66195863497,75714.55253868124,,
entity_key_x_horizon_bucket,DEU-Go Local,8_14,1092,-1336.6096502846005,-666.0962649422944,6000.112434372904,79666.53828807955,,
entity_key_x_horizon_bucket,ESP-Go Local,15_30,2496,-3699.1513465699627,-869.276308144741,4691.715141748002,13309.344123872033,,
entity_key_x_horizon_bucket,ESP-Go Local,1_7,1092,-668.8797237222567,-129.12850832139844,1588.6458668608088,11753.675776896793,,
entity_key_x_horizon_bucket,ESP-Go Local,8_14,1092,-1275.180084911956,-566.1685875625008,3522.541287924949,12353.211756892471,,
entity_key_x_horizon_bucket,EUR-Dedicated,15_30,2496,-5254.4080455060075,-3122.238427016291,6891.252117376058,17874.575333826826,,
entity_key_x_horizon_bucket,EUR-Dedicated,1_7,1092,-1415.6461971241001,-371.4090347392036,2248.2410662704506,23281.782191611688,,
entity_key_x_horizon_bucket,EUR-Dedicated,8_14,1092,-2858.421179040249,-1849.170773597082,5314.457155119463,21022.030135060973,,
entity_key_x_horizon_bucket,EUR-MSIT,15_30,2496,-151.06322370500013,-97.387133999762,100.03470800439732,926.43981648569,,
entity_key_x_horizon_bucket,EUR-MSIT,1_7,1092,-45.996240031448636,-21.57772867532153,47.84134493882416,1546.4962580091458,,
entity_key_x_horizon_bucket,EUR-MSIT,8_14,1092,-76.87091684167568,-47.53790992435058,88.56889495418939,1495.0437697263899,,
entity_key_x_horizon_bucket,EUR-Multitenant,15_30,2496,-90413.10741195834,-53746.74427706329,735018.7384407066,2208231.272286824,,
entity_key_x_horizon_bucket,EUR-Multitenant,1_7,1092,-27442.260565425502,-13243.582362425117,375161.5460906187,2188552.56942607,,
entity_key_x_horizon_bucket,EUR-Multitenant,8_14,1092,-44130.71048163406,-26995.265888525453,616568.3218331217,2192456.4134617094,,
