entity_key,date,actual_value,forecast_version,scenario,resource,source_file
APC-Dedicated,2019-07-01,120.227,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-02,120.873,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-03,121.788,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-04,122.638,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-05,123.561,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-06,123.721,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-07,123.824,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-08,124.545,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-09,125.24,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-10,126.089,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-11,126.785,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-12,127.568,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-13,127.59,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-14,127.85,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-15,128.533,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-16,129.147,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-17,130.212,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-18,130.584,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-19,130.725,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
APC-Dedicated,2019-07-20,131.1815,2026-05-01,Enterprise,HDD,hdd_region_actuals.csv
