"field","bound_value","source_artifact"
"champion_model","ETS Explicit","champion_summary/key_results"
"decision_status","CHAMPION_SELECTED_WITH_CONDITIONS","champion_summary/key_results"
"confidence","medium","champion_summary"
"median_mase","6.90","champion_summary"
"median_rmsse","1.86","champion_summary"
"supported_better","8","champion_summary"
"supported_worse","0","champion_summary"
"tournament_models","13","key_results"
"baseline_models","7","key_results"
"challenger_models","6","key_results"
"pairwise_comparisons","78","key_results"
