execution_order,model,family,action,entrypoint_or_source,status,output_artifact,notes
1,FixedGrowth_1_5,Growth baseline,generate,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,Deterministic growth baseline.
2,FixedGrowth_3,Growth baseline,generate,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,Deterministic growth baseline.
3,FixedGrowth_4,Growth baseline,generate,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,Deterministic growth baseline.
4,FixedGrowth_6,Growth baseline,generate,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,Deterministic growth baseline.
5,ARIMA_Fixed,Statistical,train,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,Fixed-order ARIMA fitted inside the baseline production runner.
6,ETS_Current,Statistical,train,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,ETS_Current fitted inside the baseline production runner.
7,AutoARIMA,Statistical,train,python/model_lab/run_daily_clean_challengers.py,READY,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Statistical challenger; routed to the clean challenger entrypoint.
8,ETS Explicit,Statistical,train,python/model_lab/run_daily_clean_challengers.py,READY,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,CURRENT CHAMPION (MASE 6.901144); routed to the clean challenger entrypoint.
9,Theta,Statistical,train,python/model_lab/run_daily_clean_challengers.py,READY,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Statistical challenger; routed to the clean challenger entrypoint.
10,LinearRegression,Machine learning,train,python/model_lab/run_full_baseline_execution.py,READY,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,LinearRegression fitted inside the baseline production runner.
11,LightGBM,Machine learning,train,python/model_lab/run_daily_clean_challengers.py,READY,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,ML challenger; routed to the clean challenger entrypoint.
12,XGBoost,Machine learning,train,python/model_lab/run_daily_clean_challengers.py,READY,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,ML challenger; routed to the clean challenger entrypoint.
13,FNAR-V2,Deep Learning,reuse_frozen_artifact,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,FROZEN_REUSE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen candidate-study output. No live daily training path.
14,NLIN-DLIN_FIXED,Deep Learning,reuse_frozen_artifact,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,FROZEN_REUSE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen candidate-study output. No live daily training path.
15,SMLP-TCN,Deep Learning,reuse_frozen_artifact,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,FROZEN_REUSE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen candidate-study output. No live daily training path.
