series_key,series_label,chart_ready,actual_line_available,forecast_lines_available,model_count,available_horizons,date_min,date_max,warning
APC-Dedicated,APC-Dedicated,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
APC-MSIT,APC-MSIT,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
APC-Multitenant,APC-Multitenant,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
ARE-Go Local,ARE-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
AUS-Go Local,AUS-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
BRA-Go Local,BRA-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
CAN-Go Local,CAN-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
CHE-Go Local,CHE-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
DEU-Go Local,DEU-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
ESP-Go Local,ESP-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
EUR-Dedicated,EUR-Dedicated,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
EUR-MSIT,EUR-MSIT,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
EUR-Multitenant,EUR-Multitenant,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
FRA-Go Local,FRA-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
GBR-Dedicated,GBR-Dedicated,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
GBR-Go Local,GBR-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
IND-Go Local,IND-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
ISR-Go Local,ISR-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
ITA-Go Local,ITA-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
JPN-Go Local,JPN-Go Local,True,True,True,13,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",2025-05-03,2026-04-27,
