run_id,preliminary_position,model_name,model_origin,model_family,official_median_mase,official_median_rmsse,supported_better_count,supported_worse_count,risk_status,audit_risk_flag,eligible_for_champion_consideration,created_timestamp
tournament_engine,1,ETS Explicit,challenger,statistical,6.901143533373399,1.856193218184295,8,0,low,False,True,2026-06-13T18:07:40
tournament_engine,2,AutoARIMA,challenger,statistical,8.088530320808188,1.8590126984374988,2,1,low,False,True,2026-06-13T18:07:40
tournament_engine,3,FixedGrowth_1_5,baseline,growth_baseline,8.649280961006667,2.2718379673062783,6,0,low,False,True,2026-06-13T18:07:40
tournament_engine,4,ETS_Current,baseline,statistical,8.65417111153676,2.273019421267602,4,0,low,False,True,2026-06-13T18:07:40
tournament_engine,5,LinearRegression,baseline,machine_learning,9.49576945571986,2.7517633206678718,4,1,low,False,True,2026-06-13T18:07:40
tournament_engine,6,Theta,challenger,statistical,10.642289708177191,2.819225444576951,5,0,low,False,True,2026-06-13T18:07:40
tournament_engine,7,ARIMA_Fixed,baseline,statistical,11.789916350319965,3.49334506602668,3,3,low,False,True,2026-06-13T18:07:40
tournament_engine,8,FixedGrowth_3,baseline,growth_baseline,12.989045570820014,3.019316356642247,4,0,low,False,True,2026-06-13T18:07:40
tournament_engine,9,XGBoost,challenger,machine_learning,14.547628304157428,3.880790199165525,3,3,low,False,True,2026-06-13T18:07:40
tournament_engine,10,LightGBM,challenger,machine_learning,16.04104170759398,4.061386180935608,1,9,low,False,True,2026-06-13T18:07:40
tournament_engine,11,FixedGrowth_4,baseline,growth_baseline,16.52907963144241,4.072356391248675,2,5,low,False,True,2026-06-13T18:07:40
tournament_engine,12,FixedGrowth_6,baseline,growth_baseline,27.01539149184708,5.083541365063246,1,9,medium,False,True,2026-06-13T18:07:40
tournament_engine,13,FastNeuralAR_MLP,challenger,lightweight_neural,739.9218881736479,164.62241686434226,0,12,high,True,False,2026-06-13T18:07:40
