forecast_version,row_count,unique_keys,unique_model_versions,forecast_min_datetime,forecast_max_datetime,actual_min_datetime,actual_max_datetime,dates_overlap_actuals,overlapping_forecast_dates,overlapping_keys
2021-06-01,76076,28,20,2017-01-05,2025-05-31,,,False,0,0
2021-07-01,76918,28,21,2017-01-05,2025-06-30,,,False,0,0
2021-08-01,77786,28,21,2017-01-05,2025-07-31,,,False,0,0
2021-09-01,78654,28,20,2017-01-05,2025-08-31,,,False,0,0
2021-10-01,79491,28,21,2017-01-05,2025-09-30,,,False,0,0
2021-11-01,81823,29,20,2017-01-05,2025-10-31,,,False,0,0
2021-12-01,82663,29,4,2017-01-05,2025-11-30,,,False,0,0
2022-01-01,83531,29,19,2017-01-05,2025-12-31,,,False,0,0
2022-02-01,84399,29,18,2017-01-05,2026-01-31,,,False,0,0
2022-03-01,85183,29,21,2017-01-05,2026-02-28,,,False,0,0
2022-04-01,86051,29,20,2017-01-05,2026-03-31,,,False,0,0
2022-05-01,85431,29,23,2017-01-05,2026-04-30,,,False,0,0
2022-06-01,86299,29,19,2017-01-05,2026-05-31,,,False,0,0
2022-07-01,88618,30,18,2017-01-05,2026-06-30,,,False,0,0
2022-08-01,89517,30,21,2017-01-05,2026-07-31,,,False,0,0
2022-09-01,90416,30,20,2017-01-05,2026-08-31,,,False,0,0
2022-10-01,91286,30,20,2017-01-05,2026-09-30,,,False,0,0
2022-11-01,92185,30,20,2017-01-05,2026-10-31,,,False,0,0
2022-12-01,93055,30,18,2017-01-05,2026-11-30,,,False,0,0
2023-01-01,95430,31,19,2017-01-05,2026-12-31,,,False,0,0
2023-02-01,96360,31,16,2017-01-05,2027-01-31,,,False,0,0
2023-03-01,97200,31,19,2017-01-05,2027-02-28,,,False,0,0
2023-04-01,98130,31,18,2017-01-05,2027-03-31,,,False,0,0
2023-05-01,99030,31,18,2017-01-05,2027-04-30,,,False,0,0
2023-06-01,99960,31,20,2017-01-05,2027-05-31,,,False,0,0
2023-07-01,100830,31,26,2017-01-05,2027-06-29,,,False,0,0
2023-08-01,101760,31,26,2017-01-05,2027-07-30,,,False,0,0
2023-09-01,107202,34,23,2017-01-05,2027-08-30,,,False,0,0
2023-10-01,108192,34,27,2017-01-05,2027-09-29,,,False,0,0
2023-11-01,87425,32,19,2019-07-05,2027-10-30,,,False,0,0
2023-12-01,97715,39,27,2019-07-05,2027-12-30,,,False,0,0
2024-01-01,98764,39,25,2019-07-05,2028-01-30,,,False,0,0
2024-02-01,109496,38,27,2019-07-05,2028-03-01,,,False,0,0
2024-03-01,110598,38,24,2019-07-05,2028-03-30,,,False,0,0
2024-04-01,111776,38,21,2019-07-05,2028-04-30,,,False,0,0
2024-05-01,112916,38,22,2019-07-05,2028-05-30,,,False,0,0
2024-06-01,114094,38,20,2019-07-05,2028-06-30,,,False,0,0
2024-07-01,115234,38,21,2019-07-05,2028-07-30,,,False,0,0
2024-08-01,117910,39,22,2019-07-05,2028-08-30,,,False,0,0
2025-06-01,275704,44,27,2019-07-05,2029-06-30,,,False,0,0
2025-07-01,139172,44,20,2019-07-05,2029-07-30,,,False,0,0
2025-12-01,135643,40,19,2019-07-05,2029-12-30,,,False,0,0
2026-01-01,136955,41,23,2019-07-05,2030-01-30,,,False,0,0
2026-02-01,139717,41,25,2019-07-05,2030-03-02,,,False,0,0
2026-03-07,145757,44,15,2026-03-01,2030-02-25,2019-07-02,2026-02-28,False,0,0
2026-04-06,148687,45,16,2026-04-01,2030-03-27,2019-07-02,2026-03-31,False,0,0
2026-04-16,133672,45,16,2026-04-01,2030-03-27,2021-01-01,2026-03-31,False,0,0
2026-05-01,150032,45,16,2026-04-28,2030-04-25,2019-07-01,2026-04-27,False,0,0
