cohort_id,metric,db_type,variant,scenario,segment,demand_nature,granularity,key,route_path,source,p3_action,raw_parquet_relative_path,row_count,min_date,max_date,freshness_status,caveat
MVP001,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,apcp150,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP002,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,chnpr01,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP003,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurp180,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP004,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,eurprd07,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP005,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,jpnprd01,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP006,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp113,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP007,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp157,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP008,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namp222,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP009,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Forest,namprd15,HDD|Organic|Basilisk|Forest,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,79,2026-03-08,2026-05-25,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
MVP010,HDD,Basilisk,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Organic,Region,GBR-Go Local,HDD|Organic|Basilisk|Region,LOCAL parquet artifacts (v6_17 full generation),ALREADY_LOCAL_NOT_EXTRACTED,NOT_APPLICABLE,75,2026-03-10,2026-05-23,CURRENT,"None. Actuals, all 15 governed backtests and forecast already local."
