claim_id,page_id,claim,evidence_pack,source_artifacts,evidence_fields,card_id
champion_overview_01,champion_overview,Champion remains ETS Explicit under governed conditions; not re-fit and not changed in V4.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_name | champion.final_decision,champion_overview_01
champion_overview_02,champion_overview,"Champion accuracy on record: median MASE 6.90, median RMSSE 1.86.",v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.champion_mase | champion.champion_rmsse,champion_overview_02
champion_overview_03,champion_overview,Governed model scope contains 15 models.,v4_2_evidence_pack_champion_overview.json,model_universe_canonical.csv,governed_model_scope_rows,champion_overview_03
champion_overview_04,champion_overview,0 candidates were advanced; the champion is retained for review.,v4_2_evidence_pack_champion_overview.json,model_dashboard_summary.csv,champion.total_candidates_advanced | champion.final_decision,champion_overview_04
champion_overview_91,champion_overview,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage,champion_overview_91
champion_overview_92,champion_overview,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.snapshot_caveat,champion_overview_92
champion_overview_93,champion_overview,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,pack_metadata.provider_stage,champion_overview_93
champion_overview_94,champion_overview,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_champion_overview.json,v4_2_evidence_pack_champion_overview.json,candidate_claims,champion_overview_94
tournament_01,tournament,Evidence indicates 7 models ranked for review under stated conditions.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking,tournament_01
tournament_02,tournament,The closest challenger by MASE ratio is SMLP-TCN at 2.72x the champion; it remains a documented challenger.,v4_2_evidence_pack_tournament.json,model_evaluation_ranking.csv,ranking[].model | ranking[].ratio_vs_champion_mase,tournament_02
tournament_03,tournament,All challengers remain documented challengers; none advanced over the champion.,v4_2_evidence_pack_tournament.json,model_evaluation_summary.csv,evaluation_summary[].final_decision,tournament_03
tournament_91,tournament,V4 is evidence-only at this stage; no LLM provider is active. Insights are produced by deterministic rules.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage,tournament_91
tournament_92,tournament,V4 uses snapshot 2026-06-28 as an accepted caveat for local LLM-layer development.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.snapshot_caveat,tournament_92
tournament_93,tournament,"No SQL, model refresh, Shiny mutation, champion mutation, or data/processed mutation occurred in V4.3.",v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,pack_metadata.provider_stage,tournament_93
tournament_94,tournament,Each visible insight is traceable to evidence fields or source artifacts.,v4_2_evidence_pack_tournament.json,v4_2_evidence_pack_tournament.json,candidate_claims,tournament_94
forecast_viewer_01,forecast_viewer,"Forecast Viewer evidence is filtered, summarized, and capped before explanation; full forecasts and actuals are never embedded.",v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.what_not_passed | forecast_subset.sample_rows_capped_at,forecast_viewer_01
forecast_viewer_02,forecast_viewer,The current selection covers 65095 forecast rows out of 65095 total; only 5 rows are embedded as a sample.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.rows_after_filter | forecast_subset.rows_total_in_artifact | forecast_subset.rows_in_sample,forecast_viewer_02
forecast_viewer_03,forecast_viewer,Forecast dates in the selection span 2026-04-28 to 2030-04-25.,v4_2_evidence_pack_forecast_viewer.json,forecasts_with_intervals.csv,forecast_subset.date_min | forecast_subset.date_max,forecast_viewer_03
