metric,series_id,min_actual_date,max_actual_date,observation_count,calendar_span_days,missing_calendar_days,proposed_burn_in_count,burn_in_side,sampled_origin_count,first_origin_date,last_origin_date,valid_origin_count,first_backtest_target_date,last_backtest_target_date,target_date_count,newest_observation_preserved,in_p5_workload,rule,notes
CPU,CPU__Consumed__Region__APC-Multitenant,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__ARE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__AUS-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__BRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__CAN-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__CHE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__CHN-Gallatin,2022-01-04,2023-07-20,556,563,7,61,OLDEST_ONLY,11,2022-03-09,2023-06-20,8,2022-04-26,2023-06-03,240,FALSE,TRUE,LEFT_BURN_IN_ONLY_LAST_WINDOW_GAPPY,"8 of 11 sampled origins valid. Burn-in consumes the 61 OLDEST observations only. Last valid target 2023-06-03 falls short of the series max 2023-07-20 because the final 30-day window is not daily-contiguous. This is a GAP effect, not tail trimming."
CPU,CPU__Consumed__Region__DEU-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__EUR-MSIT,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Consumed__Region__FRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Failover__Region__APC-Multitenant,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Failover__Region__ARE-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Failover__Region__AUS-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
CPU,CPU__Failover__Region__BRA-Go-Local,2022-01-04,2023-07-20,562,563,1,63,OLDEST_ONLY,11,2022-03-09,2023-06-20,10,2022-04-26,2023-07-20,300,TRUE,TRUE,LEFT_BURN_IN_ONLY_NEWEST_PRESERVED,10 of 11 sampled origins valid. Burn-in consumes the 63 OLDEST observations only. Last target equals the series max date: no newest observation is discarded.
