grain,entity_key,horizon_bucket,n,q10,q90
entity_key_x_horizon_bucket,APC-Dedicated,15_30,2235,-0.2477,0.0253
entity_key_x_horizon_bucket,APC-Dedicated,1_7,987,-0.0329,0.0087
entity_key_x_horizon_bucket,APC-Dedicated,31_45,2085,-0.8547,0.0355
entity_key_x_horizon_bucket,APC-Dedicated,46_60,2076,-0.9205,0.0474
entity_key_x_horizon_bucket,APC-Dedicated,8_14,986,-0.0864,0.0157
entity_key_x_horizon_bucket,APC-MSIT,15_30,2496,-0.068,0.0356
entity_key_x_horizon_bucket,APC-MSIT,1_7,1092,-0.0153,0.0118
entity_key_x_horizon_bucket,APC-MSIT,31_45,2340,-0.157,0.0528
entity_key_x_horizon_bucket,APC-MSIT,46_60,2340,-0.2772,0.0565
entity_key_x_horizon_bucket,APC-MSIT,8_14,1092,-0.0346,0.0327
entity_key_x_horizon_bucket,APC-Multitenant,15_30,2272,-0.0283,0.0278
entity_key_x_horizon_bucket,APC-Multitenant,1_7,1003,-0.0047,0.0144
entity_key_x_horizon_bucket,APC-Multitenant,31_45,2130,-0.0556,0.0419
entity_key_x_horizon_bucket,APC-Multitenant,46_60,2130,-0.0627,0.0534
entity_key_x_horizon_bucket,APC-Multitenant,8_14,1000,-0.0119,0.0244
entity_key_x_horizon_bucket,ARE-Go Local,15_30,2484,-0.0293,0.0679
entity_key_x_horizon_bucket,ARE-Go Local,1_7,1092,-0.0048,0.0293
entity_key_x_horizon_bucket,ARE-Go Local,31_45,2330,-0.0524,0.0783
entity_key_x_horizon_bucket,ARE-Go Local,46_60,2325,-0.065,0.0902
entity_key_x_horizon_bucket,ARE-Go Local,8_14,1092,-0.0107,0.0646
entity_key_x_horizon_bucket,AUS-Go Local,15_30,2384,-0.026,0.6535
entity_key_x_horizon_bucket,AUS-Go Local,1_7,1056,-0.005,0.0553
entity_key_x_horizon_bucket,AUS-Go Local,31_45,2265,-0.0481,3.2999
entity_key_x_horizon_bucket,AUS-Go Local,46_60,2265,-0.0573,3.2577
entity_key_x_horizon_bucket,AUS-Go Local,8_14,1028,-0.0118,0.2301
entity_key_x_horizon_bucket,BRA-Go Local,15_30,2468,-0.0234,0.0401
entity_key_x_horizon_bucket,BRA-Go Local,1_7,1092,-0.0047,0.0155
entity_key_x_horizon_bucket,BRA-Go Local,31_45,2340,-0.0342,0.0751
entity_key_x_horizon_bucket,BRA-Go Local,46_60,2340,-0.047,0.1159
entity_key_x_horizon_bucket,BRA-Go Local,8_14,1092,-0.0136,0.0345
entity_key_x_horizon_bucket,CAN-Go Local,15_30,2438,-0.021,0.0973
entity_key_x_horizon_bucket,CAN-Go Local,1_7,1092,-0.004,0.0917
entity_key_x_horizon_bucket,CAN-Go Local,31_45,2325,-0.0364,0.1177
entity_key_x_horizon_bucket,CAN-Go Local,46_60,2324,-0.0482,0.1185
entity_key_x_horizon_bucket,CAN-Go Local,8_14,1075,-0.0096,0.1101
entity_key_x_horizon_bucket,CHE-Go Local,15_30,2482,-0.0198,0.0453
entity_key_x_horizon_bucket,CHE-Go Local,1_7,1092,-0.0035,0.0145
entity_key_x_horizon_bucket,CHE-Go Local,31_45,2340,-0.0368,0.0864
entity_key_x_horizon_bucket,CHE-Go Local,46_60,2340,-0.0448,0.1065
entity_key_x_horizon_bucket,CHE-Go Local,8_14,1092,-0.009,0.0252
entity_key_x_horizon_bucket,DEU-Go Local,15_30,2438,-0.0152,0.0748
entity_key_x_horizon_bucket,DEU-Go Local,1_7,1092,-0.0041,0.0708
entity_key_x_horizon_bucket,DEU-Go Local,31_45,2310,-0.0414,0.0947
entity_key_x_horizon_bucket,DEU-Go Local,46_60,2310,-0.0505,0.1038
entity_key_x_horizon_bucket,DEU-Go Local,8_14,1091,-0.0081,0.083
entity_key_x_horizon_bucket,ESP-Go Local,15_30,1664,-0.0358,0.9869
entity_key_x_horizon_bucket,ESP-Go Local,1_7,728,-0.0104,0.2751
entity_key_x_horizon_bucket,ESP-Go Local,31_45,1516,-0.0631,1.4724
entity_key_x_horizon_bucket,ESP-Go Local,46_60,1513,-0.1186,2.3995
entity_key_x_horizon_bucket,ESP-Go Local,8_14,728,-0.0165,0.5923
entity_key_x_horizon_bucket,EUR-Dedicated,15_30,2471,-0.0522,0.2898
entity_key_x_horizon_bucket,EUR-Dedicated,1_7,1092,-0.0079,0.1163
entity_key_x_horizon_bucket,EUR-Dedicated,31_45,2310,-0.0734,0.4616
entity_key_x_horizon_bucket,EUR-Dedicated,46_60,2301,-0.1343,0.7375
entity_key_x_horizon_bucket,EUR-Dedicated,8_14,1087,-0.0208,0.2371
entity_key_x_horizon_bucket,EUR-MSIT,15_30,2496,-0.0633,0.0374
entity_key_x_horizon_bucket,EUR-MSIT,1_7,1092,-0.0106,0.012
entity_key_x_horizon_bucket,EUR-MSIT,31_45,2340,-0.2156,0.0566
entity_key_x_horizon_bucket,EUR-MSIT,46_60,2340,-0.2044,0.0754
entity_key_x_horizon_bucket,EUR-MSIT,8_14,1092,-0.0354,0.018
entity_key_x_horizon_bucket,EUR-Multitenant,15_30,2274,-0.0339,0.0529
entity_key_x_horizon_bucket,EUR-Multitenant,1_7,1004,-0.0048,0.0384
entity_key_x_horizon_bucket,EUR-Multitenant,31_45,2130,-0.0492,0.0772
entity_key_x_horizon_bucket,EUR-Multitenant,46_60,2130,-0.0547,0.1048
entity_key_x_horizon_bucket,EUR-Multitenant,8_14,1001,-0.0134,0.0438
entity_key_x_horizon_bucket,FRA-Go Local,15_30,2458,-0.0278,0.0605
entity_key_x_horizon_bucket,FRA-Go Local,1_7,1092,-0.0071,0.0168
entity_key_x_horizon_bucket,FRA-Go Local,31_45,2335,-0.0452,0.0771
entity_key_x_horizon_bucket,FRA-Go Local,46_60,2325,-0.0572,0.0923
entity_key_x_horizon_bucket,FRA-Go Local,8_14,1092,-0.0165,0.0352
