"artifact_key","category","type","requirement","rel_path","presence","status","n_rows","n_cols"
"key_results","closure_pack","csv","required","outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv","available","required_available",11,5
"champion_summary","closure_pack","csv","required","outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv","available","required_available",1,11
"final_model_universe","closure_pack","csv","required","outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv","available","required_available",15,10
"risk_register_final","closure_pack","csv","required","outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv","available","required_available",7,10
"deferred_models","closure_pack","csv","optional","outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv","available","optional_available",2,6
"next_steps","closure_pack","csv","optional","outputs/model_lab/model_lab_closure_pack/model_lab_next_steps.csv","available","optional_available",6,5
"dashboard_handoff_manifest","closure_pack","csv","optional","outputs/model_lab/model_lab_closure_pack/model_lab_dashboard_handoff_manifest.csv","available","optional_available",14,6
"artifact_manifest","closure_pack","csv","optional","outputs/model_lab/model_lab_closure_pack/model_lab_artifact_manifest.csv","available","optional_available",12,5
"tournament_standings","tournament","csv","required","outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv","available","required_available",13,13
"tournament_scorecard","tournament","csv","required","outputs/model_lab/tournament_engine/tournament_model_scorecard.csv","available","required_available",13,17
"tournament_pairwise","tournament","csv","optional","outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv","available","optional_available",78,16
"challenger_metrics","challenger","csv","optional","outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv","available","optional_available",6,17
"challenger_aggregation","challenger","csv","optional","outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv","available","optional_available",6,15
"champion_conditions","governance","csv","required","outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv","available","required_available",5,11
"champion_dashboard_language","governance","csv","required","outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv","available","required_available",13,8
"audit_4_summary","audit","csv","optional","outputs/model_lab/audit_4/audit_4_summary.csv","available","optional_available",1,8
"audit_5_findings","audit","csv","optional","outputs/model_lab/audit_5/audit_5_findings.csv","available","optional_available",19,9
"audit_5_report","audit","text","optional","outputs/model_lab/audit_5/audit_5_final_report.md","available","optional_available",171,1
"tournament_sanity_summary","audit","csv","optional","outputs/model_lab/tournament_sanity_review/tournament_sanity_summary.csv","available","optional_available",1,15
"benchmark_semantics","methodology","text","optional","docs/benchmark_semantics/benchmark_semantics_v1.md","available","optional_available",102,1
"champion_decision_report","methodology","text","optional","outputs/model_lab/champion_decision/champion_decision_report.md","available","optional_available",55,1
"forecasts","forecasting","csv","optional","data/processed/forecasts.csv","available","optional_available",65095,9
"actuals","forecasting","csv","optional","data/processed/actuals.csv","available","optional_available",84537,7
"forecast_comparison","forecasting","csv","optional","data/processed/forecast_comparison.csv","available","optional_available",0,11
"entities","forecasting","csv","optional","data/processed/entities.csv","available","optional_available",45,8
"run_metadata","forecasting","csv","optional","data/processed/run_metadata.csv","available","optional_available",1,12
"ttl_capacity","ttl","csv","roadmap","outputs/model_lab/ttl/ttl_capacity_view.csv","missing","roadmap",0,0
