entity_key,date,forecast_value,model_version,forecast_version,scenario,resource,value_type,source_file,forecast_horizon_day,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95,interval_available,interval_method,interval_source,interval_level_available,interval_calibration_grain,interval_calibration_sample_size,interval_horizon_bucket,interval_extrapolated,interval_unavailable_reason,interval_relative_error_clip_lower,interval_relative_error_clip_upper,interval_near_zero_excluded_count,interval_holdout_coverage_80,interval_holdout_coverage_95,forecast_point_scale_anomaly
APC-Dedicated,2026-04-28,29.104001000000004,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,1,27.0993,29.3561,15.7834,85.2505,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-04-29,29.11344191893224,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,2,27.1081,29.3656,15.7885,85.2782,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-04-30,29.12288283786448,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,3,27.1169,29.3751,15.7937,85.3059,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-01,29.13232375679672,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,4,27.1257,29.3847,15.7988,85.3335,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-02,29.14176467572896,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,5,27.1345,29.3942,15.8039,85.3612,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-03,29.1512055946612,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,6,27.1433,29.4037,15.809,85.3888,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-04,29.160646513593434,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,7,27.1521,29.4132,15.8141,85.4165,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1040.0,1_7,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-05,29.17008743252568,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,8,24.3047,29.5997,13.3687,274.35,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1029.0,8_14,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-06,29.17952835145791,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,9,24.3125,29.6093,13.373,274.4387,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1029.0,8_14,False,,-0.95,26.1787,4148,0.8087,0.9221,True
APC-Dedicated,2026-05-07,29.18896927039015,FixedGrowth1%,2026-05-01,Enterprise,HDD,Forecast-Mean,hdd_region_forecasts.csv,10,24.3204,29.6189,13.3773,274.5275,True,empirical_backtest_relative_residual_quantile,forecast_viewer_model_outputs.csv,"80,95",entity_key_x_horizon_bucket,1029.0,8_14,False,,-0.95,26.1787,4148,0.8087,0.9221,True
