ui_control,input_id,bound_field_or_source,artifact_column,notes
series_dropdown,fvp_series,series_key,series_key,"selectInput; choices from fvp_series_choices() = 3 pilot series"
model_checkboxes_growth_baseline,fvp_models_growth_baseline,model_name (family=growth_baseline),"model_name, model_family","checkboxGroupInput rendered by output$fvp_model_groups"
model_checkboxes_statistical,fvp_models_statistical,model_name (family=statistical),"model_name, model_family","checkboxGroupInput rendered by output$fvp_model_groups"
model_checkboxes_machine_learning,fvp_models_machine_learning,model_name (family=machine_learning),"model_name, model_family","checkboxGroupInput rendered by output$fvp_model_groups"
model_checkboxes_lightweight_neural,fvp_models_lightweight_neural,model_name (family=lightweight_neural),"model_name, model_family","checkboxGroupInput rendered by output$fvp_model_groups"
champion_badge,(label),is_selected_champion,is_selected_champion,"star champion suffix on model label when TRUE"
high_risk_badge,(label),risk_status,risk_status,"warning high risk suffix when risk_status == high_risk"
horizon_radio,fvp_horizon,horizon_days filter,horizon_days,"radioButtons; choices 5,10,15,20,25,30 only"
history_window,fvp_history,trailing days filter on date,date,"selectInput; Last 90 / Last 180 / Full pilot window (0)"
analyze_button,fvp_go,eventReactive snapshot trigger,(n/a),"actionButton; gates chart + notes rendering"
actual_line,(chart series Actual),actual_value by date,actual_value,"deduplicated date->actual_value via fvp_actual_series()"
model_line,(chart series per model),forecast_value by date,forecast_value,"per selected model, horizon-filtered via fvp_forecast_series()"
chart_xaxis,(datetime axis),date,date,"datetime_to_timestamp(date)"
chart_yaxis,(value axis),actual_value/forecast_value,"actual_value, forecast_value","numeric values"
tooltip_model_family,(tooltip),model_family,model_family,"shown in forecast point tooltip"
tooltip_risk_status,(tooltip),risk_status,risk_status,"shown in forecast point tooltip"
tooltip_horizon,(tooltip),selected horizon,horizon_days,"echoed from selected horizon"
data_notes_panel,fvp_notes,fvp_summary() snapshot,"series_key, model_name, date, actual_value, forecast_value, horizon_days","series, model count, horizon, actual points, forecast points drawn, date range"
intervals,(not drawn),lower_bound/upper_bound,"lower_bound, upper_bound","all NA in pilot artifact; intentionally not drawn"
forecast_type,(label only),forecast_type,forecast_type,"backtest; surfaced as backtest/non-production notes"
