horizon_days,rows,series_covered,models_covered,in_ui_horizon_set
1,468,3,13,False
2,468,3,13,False
3,468,3,13,False
4,468,3,13,False
5,468,3,13,True
6,468,3,13,False
7,468,3,13,False
8,468,3,13,False
9,468,3,13,False
10,468,3,13,True
11,468,3,13,False
12,468,3,13,False
13,468,3,13,False
14,468,3,13,False
15,468,3,13,True
16,468,3,13,False
17,468,3,13,False
18,468,3,13,False
19,468,3,13,False
20,468,3,13,True
21,468,3,13,False
22,468,3,13,False
23,468,3,13,False
24,468,3,13,False
25,468,3,13,True
26,468,3,13,False
27,468,3,13,False
28,468,3,13,False
29,468,3,13,False
30,468,3,13,True
