job_id,entity_key,window_id,model_name,model_family,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,status
job_000001,APC-Dedicated,1,AutoARIMA,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000002,APC-Dedicated,1,ETS,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000003,APC-Dedicated,1,LightGBM,MachineLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000004,APC-Dedicated,1,NBEATS,DeepLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000005,APC-Dedicated,1,NHITS,DeepLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000006,APC-Dedicated,1,Theta,Statistical,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000007,APC-Dedicated,1,XGBoost,MachineLearning,2019-07-01,2025-05-02,2025-05-03,2025-06-01,2131,30,planned
job_000008,APC-Dedicated,2,AutoARIMA,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000009,APC-Dedicated,2,ETS,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000010,APC-Dedicated,2,LightGBM,MachineLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000011,APC-Dedicated,2,NBEATS,DeepLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000012,APC-Dedicated,2,NHITS,DeepLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000013,APC-Dedicated,2,Theta,Statistical,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000014,APC-Dedicated,2,XGBoost,MachineLearning,2019-07-01,2025-06-01,2025-06-02,2025-07-01,2161,30,planned
job_000015,APC-Dedicated,3,AutoARIMA,Statistical,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000016,APC-Dedicated,3,ETS,Statistical,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000017,APC-Dedicated,3,LightGBM,MachineLearning,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000018,APC-Dedicated,3,NBEATS,DeepLearning,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000019,APC-Dedicated,3,NHITS,DeepLearning,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000020,APC-Dedicated,3,Theta,Statistical,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000021,APC-Dedicated,3,XGBoost,MachineLearning,2019-07-01,2025-07-01,2025-07-02,2025-07-31,2191,30,planned
job_000022,APC-Dedicated,4,AutoARIMA,Statistical,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000023,APC-Dedicated,4,ETS,Statistical,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000024,APC-Dedicated,4,LightGBM,MachineLearning,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000025,APC-Dedicated,4,NBEATS,DeepLearning,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000026,APC-Dedicated,4,NHITS,DeepLearning,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000027,APC-Dedicated,4,Theta,Statistical,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000028,APC-Dedicated,4,XGBoost,MachineLearning,2019-07-01,2025-07-31,2025-08-01,2025-08-30,2221,30,planned
job_000029,APC-Dedicated,5,AutoARIMA,Statistical,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000030,APC-Dedicated,5,ETS,Statistical,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000031,APC-Dedicated,5,LightGBM,MachineLearning,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000032,APC-Dedicated,5,NBEATS,DeepLearning,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000033,APC-Dedicated,5,NHITS,DeepLearning,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000034,APC-Dedicated,5,Theta,Statistical,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000035,APC-Dedicated,5,XGBoost,MachineLearning,2019-07-01,2025-08-30,2025-08-31,2025-09-29,2251,30,planned
job_000036,APC-Dedicated,6,AutoARIMA,Statistical,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
job_000037,APC-Dedicated,6,ETS,Statistical,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
job_000038,APC-Dedicated,6,LightGBM,MachineLearning,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
job_000039,APC-Dedicated,6,NBEATS,DeepLearning,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
job_000040,APC-Dedicated,6,NHITS,DeepLearning,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
job_000041,APC-Dedicated,6,Theta,Statistical,2019-07-01,2025-09-29,2025-09-30,2025-10-29,2281,30,planned
