column_name,present,data_type,null_count,distinct_values,notes
cohort_id,TRUE,large_string,0,140,
series_id,TRUE,large_string,0,140,
metric,TRUE,large_string,0,4,
db_type,TRUE,large_string,0,5,
scenario,TRUE,large_string,0,3,
segment,TRUE,large_string,0,3,
granularity,TRUE,large_string,0,2,
key,TRUE,large_string,0,102,
route_path,TRUE,large_string,0,11,
model_name,TRUE,large_string,0,15,
model_family,TRUE,large_string,0,3,
target_date,TRUE,timestamp[us],0,1207,
prediction_date,TRUE,timestamp[us],0,1207,
train_start_date,TRUE,timestamp[ns],204300,5,train_start_date is null for reused HDD rows: NOT_PRESENT_IN_SOURCE
train_end_date,TRUE,timestamp[us],0,100,
horizon_steps,TRUE,int64,0,30,
actual_value,TRUE,double,0,21753,
predicted_value,TRUE,double,0,437964,
backtest_type,TRUE,large_string,0,2,
burn_in_count,TRUE,int64,0,5,burn_in_count is -1 for reused HDD rows: NOT_PRESENT_IN_SOURCE
source_actuals_artifact,TRUE,large_string,0,2,
model_run_id,TRUE,large_string,0,6,
source_generation_status,TRUE,large_string,0,2,
model_status,TRUE,large_string,0,1,
runtime_seconds,TRUE,double,0,357,
caveat,TRUE,large_string,0,4,
