batch_id,phase,metric,series_id,model_name,model_family,origins_run,prediction_rows,model_status,runtime_seconds,error_message
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,FixedGrowth_1_5,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,FixedGrowth_3,Baseline,10,300,OK,0.018,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,FixedGrowth_4,Baseline,10,300,OK,0.018,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,FixedGrowth_6,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,ARIMA_Fixed,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,AutoARIMA,Challenger,10,300,OK,4.325,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,ETS Explicit,Challenger,10,300,OK,0.088,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,ETS_Current,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,Theta,Challenger,10,300,OK,0.11,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,LightGBM,Challenger,10,300,OK,0.161,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,LinearRegression,Baseline,10,300,OK,0.026,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCP150,XGBoost,Challenger,10,300,OK,0.228,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,FixedGrowth_1_5,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,FixedGrowth_3,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,FixedGrowth_4,Baseline,10,300,OK,0.026,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,FixedGrowth_6,Baseline,10,300,OK,0.024,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,ARIMA_Fixed,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,AutoARIMA,Challenger,10,300,OK,2.724,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,ETS Explicit,Challenger,10,300,OK,0.119,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,ETS_Current,Baseline,10,300,OK,0.021,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,Theta,Challenger,10,300,OK,0.097,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,LightGBM,Challenger,10,300,OK,0.113,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,LinearRegression,Baseline,10,300,OK,0.023,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD01,XGBoost,Challenger,10,300,OK,0.25,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,FixedGrowth_1_5,Baseline,10,300,OK,0.021,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,FixedGrowth_3,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,FixedGrowth_4,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,FixedGrowth_6,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,ARIMA_Fixed,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,AutoARIMA,Challenger,10,300,OK,2.201,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,ETS Explicit,Challenger,10,300,OK,0.126,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,ETS_Current,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,Theta,Challenger,10,300,OK,0.097,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,LightGBM,Challenger,10,300,OK,0.111,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,LinearRegression,Baseline,10,300,OK,0.023,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__APCPRD02,XGBoost,Challenger,10,300,OK,0.242,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,FixedGrowth_1_5,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,FixedGrowth_3,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,FixedGrowth_4,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,FixedGrowth_6,Baseline,10,300,OK,0.018,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,ARIMA_Fixed,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,AutoARIMA,Challenger,10,300,OK,1.827,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,ETS Explicit,Challenger,10,300,OK,0.11,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,ETS_Current,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,Theta,Challenger,10,300,OK,0.094,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,LightGBM,Challenger,10,300,OK,0.114,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,LinearRegression,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AREP273,XGBoost,Challenger,10,300,OK,0.252,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,FixedGrowth_1_5,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,FixedGrowth_3,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,FixedGrowth_4,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,FixedGrowth_6,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,ARIMA_Fixed,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,AutoARIMA,Challenger,10,300,OK,1.421,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,ETS Explicit,Challenger,10,300,OK,0.11,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,ETS_Current,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,Theta,Challenger,10,300,OK,0.085,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,LightGBM,Challenger,10,300,OK,0.114,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,LinearRegression,Baseline,10,300,OK,0.023,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP282,XGBoost,Challenger,10,300,OK,0.239,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,FixedGrowth_1_5,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,FixedGrowth_3,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,FixedGrowth_4,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,FixedGrowth_6,Baseline,10,300,OK,0.018,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,ARIMA_Fixed,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,AutoARIMA,Challenger,10,300,OK,1.591,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,ETS Explicit,Challenger,10,300,OK,0.109,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,ETS_Current,Baseline,10,300,OK,0.021,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,Theta,Challenger,10,300,OK,0.095,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,LightGBM,Challenger,10,300,OK,0.113,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,LinearRegression,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSP300,XGBoost,Challenger,10,300,OK,0.241,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,FixedGrowth_1_5,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,FixedGrowth_3,Baseline,10,300,OK,0.021,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,FixedGrowth_4,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,FixedGrowth_6,Baseline,10,300,OK,0.025,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,ARIMA_Fixed,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,AutoARIMA,Challenger,10,300,OK,2.333,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,ETS Explicit,Challenger,10,300,OK,0.119,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,ETS_Current,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,Theta,Challenger,10,300,OK,0.089,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,LightGBM,Challenger,10,300,OK,0.111,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,LinearRegression,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUSPRD01,XGBoost,Challenger,10,300,OK,0.237,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,FixedGrowth_1_5,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,FixedGrowth_3,Baseline,10,300,OK,0.022,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,FixedGrowth_4,Baseline,10,300,OK,0.019,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,FixedGrowth_6,Baseline,10,300,OK,0.021,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,ARIMA_Fixed,Baseline,10,300,OK,0.02,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,AutoARIMA,Challenger,10,300,OK,0.941,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,ETS Explicit,Challenger,10,300,OK,0.088,
SSD_A_01,A,SSD,SSD__Phoenix__Forest__AUTP296,ETS_Current,Baseline,10,300,OK,0.022,
