"series_key","series_label","source_artifact","has_actuals","has_final_forecast","has_baseline_backtest","has_challenger_backtest","has_multimodel_coverage","number_of_models_available","date_min","date_max"
"APC-Dedicated","APC-Dedicated","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"APC-MSIT","APC-MSIT","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"APC-Multitenant","APC-Multitenant","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"ARE-Go Local","ARE-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"AUS-Go Local","AUS-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"AUT-Go Local","AUT-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20180","22025"
"BRA-Go Local","BRA-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18527","22017"
"CAN-Go Local","CAN-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"CHE-Go Local","CHE-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18167","22017"
"CHL-Go Local","CHL-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20196","22024"
"DEU-Go Local","DEU-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18200","22017"
"DNK-Go Local","DNK-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20355","22021"
"ESP-Go Local","ESP-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"19678","22029"
"EUR-Dedicated","EUR-Dedicated","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"EUR-Go Local","EUR-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20432","22017"
"EUR-MSIT","EUR-MSIT","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"EUR-Multitenant","EUR-Multitenant","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"FRA-Go Local","FRA-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"GBR-Dedicated","GBR-Dedicated","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"GBR-Go Local","GBR-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"IDN-Go Local","IDN-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20195","22008"
"IND-Go Local","IND-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"ISR-Go Local","ISR-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"19564","22013"
"ITA-Go Local","ITA-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"19564","22013"
"JPN-Go Local","JPN-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"KOR-Go Local","KOR-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"LAM-Multitenant","LAM-Multitenant","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"MEX-Go Local","MEX-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"19564","22013"
"MYS-Go Local","MYS-Go Local","forecasts.csv",TRUE,TRUE,FALSE,FALSE,FALSE,0,"20196","22000"
"NAM-Dedicated","NAM-Dedicated","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-GCC Low","NAM-GCC Low","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-ITAR DoD","NAM-ITAR DoD","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-ITAR GCCH","NAM-ITAR GCCH","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-MSIT","NAM-MSIT","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-Multitenant","NAM-Multitenant","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-SDF","NAM-SDF","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18078","22017"
"NAM-TDF","NAM-TDF","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18636","22017"
"NOR-Go Local","NOR-Go Local","forecasts.csv + full_baseline_forecasts.csv + challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,13,"18329","22017"
