"file_path","file_name","extension","size_bytes","size_mb","category","stage_or_source","dashboard_feeding_role","evidence_only","contract_only","productive_runtime_input","notes"
"V6/data/processed/actuals.csv","actuals.csv","csv","7359186","7.018267","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/entities.csv","entities.csv","csv","3259","0.003108","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecast_comparison.csv","forecast_comparison.csv","csv","133","0.000127","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecast_viewer_model_outputs_manifest.csv","forecast_viewer_model_outputs_manifest.csv","csv","3026","0.002886","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecast_viewer_model_outputs_pilot_manifest.csv","forecast_viewer_model_outputs_pilot_manifest.csv","csv","1126","0.001074","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecast_viewer_model_outputs_pilot_sample.csv","forecast_viewer_model_outputs_pilot_sample.csv","csv","50821","0.048467","PROCESSED_DATA","data_processed","NONE","FALSE","FALSE","FALSE","Historical validation report log backup script or other non-runtime evidence"
"V6/data/processed/forecast_viewer_model_outputs_pilot.csv","forecast_viewer_model_outputs_pilot.csv","csv","3573931","3.408366","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecast_viewer_model_outputs_sample.csv","forecast_viewer_model_outputs_sample.csv","csv","16799","0.016021","PROCESSED_DATA","data_processed","NONE","FALSE","FALSE","FALSE","Historical validation report log backup script or other non-runtime evidence"
"V6/data/processed/forecast_viewer_model_outputs.csv","forecast_viewer_model_outputs.csv","csv","51467614","49.083342","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecasts_with_intervals_relative_60d_calibrated.csv","forecasts_with_intervals_relative_60d_calibrated.csv","csv","20847730","19.881945","DASHBOARD_PRODUCTIVE_INPUT","data_processed","CURRENT_REGISTERED_SHINY_INPUT","FALSE","FALSE","TRUE","Path is registered in shiny_app/R/data_loader.R and exists in the snapshot"
"V6/data/processed/forecasts_with_intervals_relative_60d.csv","forecasts_with_intervals_relative_60d.csv","csv","19904436","18.982349","PROCESSED_DATA","data_processed","NONE","FALSE","FALSE","FALSE","Historical validation report log backup script or other non-runtime evidence"
