model_name,model_family,found_in_legacy_artifact,found_in_r8fix2_contract,include_in_viewer,include_in_future_backtest,notes
FixedGrowth_1_5,growth_baseline,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
FixedGrowth_3,growth_baseline,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
FixedGrowth_4,growth_baseline,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
FixedGrowth_6,growth_baseline,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
ARIMA_Fixed,statistical,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
AutoARIMA,statistical,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
ETS Explicit,statistical,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
ETS_Current,statistical,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
Theta,statistical,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
LinearRegression,machine_learning,TRUE,TRUE,TRUE,TRUE,"Verified exact model name"
LightGBM,machine_learning,TRUE,TRUE,TRUE,TRUE,"Verified exact Viewer model; do not substitute an improved candidate variant"
XGBoost,machine_learning,TRUE,TRUE,TRUE,TRUE,"Verified exact Viewer model; do not substitute an improved candidate variant"
FNAR-V2,lightweight_neural,TRUE,TRUE,TRUE,TRUE,"Displayed as Deep Learning in Viewer"
NLIN-DLIN_FIXED,lightweight_neural,TRUE,TRUE,TRUE,TRUE,"Displayed as Deep Learning in Viewer"
SMLP-TCN,lightweight_neural,TRUE,TRUE,TRUE,TRUE,"Displayed as Deep Learning in Viewer"
