model_number,model_name,present,exact_spelling_match,series_covered,rows,hdd_rows,generated_rows,distinct_origins,result
1,FixedGrowth_1_5,TRUE,TRUE,140,40946,13620,27326,100,PASS
2,FixedGrowth_3,TRUE,TRUE,140,40946,13620,27326,100,PASS
3,FixedGrowth_4,TRUE,TRUE,140,40946,13620,27326,100,PASS
4,FixedGrowth_6,TRUE,TRUE,140,40946,13620,27326,100,PASS
5,ARIMA_Fixed,TRUE,TRUE,140,40946,13620,27326,100,PASS
6,AutoARIMA,TRUE,TRUE,140,40946,13620,27326,100,PASS
7,ETS Explicit,TRUE,TRUE,140,40946,13620,27326,100,PASS
8,ETS_Current,TRUE,TRUE,140,40946,13620,27326,100,PASS
9,Theta,TRUE,TRUE,140,40946,13620,27326,100,PASS
10,LightGBM,TRUE,TRUE,140,40946,13620,27326,100,PASS
11,LinearRegression,TRUE,TRUE,140,40946,13620,27326,100,PASS
12,XGBoost,TRUE,TRUE,140,40946,13620,27326,100,PASS
13,FNAR-V2,TRUE,TRUE,140,40946,13620,27326,100,PASS
14,NLIN-DLIN_FIXED,TRUE,TRUE,140,40946,13620,27326,100,PASS
15,SMLP-TCN,TRUE,TRUE,140,40946,13620,27326,100,PASS
-,PROHIBITED: NBEATS,FALSE,-,0,0,0,0,0,PASS
-,PROHIBITED: NHITS,FALSE,-,0,0,0,0,0,PASS
-,PROHIBITED: FastNeuralAR_MLP,FALSE,-,0,0,0,0,0,PASS
