check,scope,observed,severity,result,notes
NaN predicted_value,all rows,0,CRITICAL,PASS,
Infinite predicted_value,all rows,0,CRITICAL,PASS,
Non-numeric predicted_value,all rows,0,CRITICAL,PASS,
Negative predicted_value,all rows,7531,MEDIUM,REVIEW,Demand metrics should not be negative. Baselines clip at zero; some challengers do not.
Zero predicted_value where actual is non-zero,all rows,807,MEDIUM,REVIEW,"Reported for P6 accuracy review, not a failure condition."
All-zero model output,per metric+model,0 metric-model combinations predict zero everywhere,HIGH,PASS,
prediction distribution,CPU | ARIMA_Fixed,min=-3.099e+06 median=9.961e+04 max=1.506e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | AutoARIMA,min=7612 median=1.041e+05 max=1.016e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | ETS Explicit,min=7512 median=1.044e+05 max=1.046e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | ETS_Current,min=-1.317e+05 median=1.015e+05 max=1.184e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | FNAR-V2,min=6970 median=1.018e+05 max=1.004e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | FixedGrowth_1_5,min=7506 median=1.013e+05 max=1.032e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | FixedGrowth_3,min=7510 median=1.021e+05 max=1.047e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | FixedGrowth_4,min=7512 median=1.027e+05 max=1.057e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | FixedGrowth_6,min=7517 median=1.038e+05 max=1.078e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | LightGBM,min=7264 median=1.013e+05 max=9.947e+05,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | LinearRegression,min=7671 median=1.035e+05 max=1.03e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | NLIN-DLIN_FIXED,min=7632 median=1.06e+05 max=1.035e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | SMLP-TCN,min=6691 median=1.073e+05 max=1.155e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | Theta,min=7506 median=1.021e+05 max=1.02e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,CPU | XGBoost,min=7032 median=1.012e+05 max=1.013e+06,INFO,INFO,0 of 20 series where this model predicts a single constant value
prediction distribution,HDD | ARIMA_Fixed,min=-1.13e+07 median=671 max=2.395e+06,INFO,INFO,15 of 50 series where this model predicts a single constant value
prediction distribution,HDD | AutoARIMA,min=-7.165e+04 median=1819 max=2.264e+06,INFO,INFO,15 of 50 series where this model predicts a single constant value
prediction distribution,HDD | ETS Explicit,min=-4.613e+04 median=1219 max=2.273e+06,INFO,INFO,15 of 50 series where this model predicts a single constant value
prediction distribution,HDD | ETS_Current,min=-1.037e+06 median=1166 max=2.313e+06,INFO,INFO,15 of 50 series where this model predicts a single constant value
