run_id,model_a,model_b,entities_compared,ties,model_a_entity_wins,model_b_entity_wins,model_a_entity_win_rate,model_b_entity_win_rate,median_delta_mase,mean_delta_mase,bootstrap_median_delta,ci_lower_95,ci_upper_95,p_value_sign_test,p_value_bh_adjusted,bh_significant,min_practical_mase_delta,practical_significance,evidence_status,created_timestamp
statistical_significance_20260612_140441,ARIMA_Fixed,ETS_Current,39,0,13,26,0.3333333333333333,0.6666666666666666,0.10469298821315631,0.20762677886566863,0.10469298821315631,0.0026927970177059724,0.24404947982723363,0.05325191409792751,0.07987787114689127,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ARIMA_Fixed,FixedGrowth_1_5,39,0,13,26,0.3333333333333333,0.6666666666666666,0.13926220247118182,0.29730371953370266,0.13926220247118182,0.01585441382290098,0.349887748862171,0.05325191409792751,0.07987787114689127,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ARIMA_Fixed,FixedGrowth_3,39,0,21,18,0.5384615384615384,0.46153846153846156,-0.015389528672441477,0.015219045968967046,-0.015389528672441477,-0.28257408438705955,0.22580939047771764,0.7492586247608415,0.7867215559988836,False,0.02,False,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ARIMA_Fixed,FixedGrowth_4,39,0,24,15,0.6153846153846154,0.38461538461538464,-0.1261671756041205,-0.3163838653772213,-0.1261671756041205,-0.5688865743519597,0.017401775547158715,0.19959086691960692,0.2619630128319841,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ARIMA_Fixed,FixedGrowth_6,39,0,31,8,0.7948717948717948,0.20512820512820512,-0.6961413458859869,-1.1038103341818817,-0.6961413458859869,-1.3407432468981704,-0.28802566088119264,0.0002940768754342571,0.0008822306263027713,True,0.02,True,model_a_supported,2026-06-12T14:04:41
statistical_significance_20260612_140441,ARIMA_Fixed,LinearRegression,39,0,19,20,0.48717948717948717,0.5128205128205128,0.022826175563637197,0.05977108860995978,0.022826175563637197,-0.10668367941400136,0.24147821751122966,1.0,1.0,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ETS_Current,FixedGrowth_1_5,39,0,16,23,0.41025641025641024,0.5897435897435898,0.037383712782852685,0.08967694066803412,0.037383712782852685,-0.02210178284284703,0.1061272777209491,0.3367836351899314,0.39291424105491995,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ETS_Current,FixedGrowth_3,39,0,22,17,0.5641025641025641,0.4358974358974359,-0.16404309280175972,-0.19240773289670157,-0.16404309280175972,-0.3604791434451807,0.05791843960700921,0.5223973804968409,0.5773865784438769,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,ETS_Current,FixedGrowth_4,39,0,28,11,0.717948717948718,0.28205128205128205,-0.3384131726218703,-0.5240106442428899,-0.3384131726218703,-0.8357892766795607,-0.13118791163333787,0.009475304279476404,0.01808921726081859,True,0.02,True,model_a_supported,2026-06-12T14:04:41
statistical_significance_20260612_140441,ETS_Current,FixedGrowth_6,39,0,31,8,0.7948717948717948,0.20512820512820512,-1.0654827555844202,-1.3114371130475504,-1.0654827555844202,-2.0978078746114184,-0.6259030573422536,0.0002940768754342571,0.0008822306263027713,True,0.02,True,model_a_supported,2026-06-12T14:04:41
statistical_significance_20260612_140441,ETS_Current,LinearRegression,39,0,24,15,0.6153846153846154,0.38461538461538464,-0.058903329182250164,-0.14785569025570888,-0.058903329182250164,-0.1503396028803563,0.02096306128287395,0.19959086691960692,0.2619630128319841,False,0.02,True,inconclusive,2026-06-12T14:04:41
statistical_significance_20260612_140441,FixedGrowth_1_5,FixedGrowth_3,39,0,29,10,0.7435897435897436,0.2564102564102564,-0.20580106532826564,-0.28208467356473566,-0.20580106532826564,-0.27528258049694254,-0.07683787474738346,0.0033778479119064286,0.0070934806150035005,True,0.02,True,model_a_supported,2026-06-12T14:04:41
