entity_key,date,forecast_horizon_day,interval_horizon_bucket,forecast_value,forecast_lower_80,forecast_upper_80,band80_width_ratio,interval_calibration_grain,forecast_point_scale_anomaly
NAM-TDF,2026-06-13,47,46_60,48.432570354743326,32.4541,1176.0623,23.612378852158088,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-21,55,46_60,48.55894102513347,32.5388,1179.1309,23.612378602048572,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-20,54,46_60,48.5431446913347,32.5282,1178.7473,23.612378375738157,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-19,53,46_60,48.527348357535935,32.5176,1178.3637,23.612378149280413,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-17,51,46_60,48.4957556899384,32.4965,1177.5966,23.612377695922333,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-26,60,46_60,48.63792269412731,32.5917,1181.0487,23.61237767538679,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-16,50,46_60,48.47995935613963,32.4859,1177.213,23.61237746902172,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-25,59,46_60,48.622126360328544,32.5812,1180.6652,23.612377449142933,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-15,49,46_60,48.46416302234086,32.4753,1176.8294,23.612377241973192,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-24,58,46_60,48.606330026529776,32.5706,1180.2816,23.612377222752034,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-14,48,46_60,48.448366688542094,32.4647,1176.4458,23.612377014776605,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-23,57,46_60,48.59053369273101,32.56,1179.898,23.61237699621394,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-22,56,46_60,48.57473735893224,32.5494,1179.5144,23.612376769528503,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-12,46,46_60,48.41677402094456,32.4436,1175.6787,23.612376559938692,entity_key_x_horizon_bucket,False
NAM-TDF,2026-06-18,52,46_60,48.51155202373717,32.5071,1177.9801,23.6123758613105,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-13,16,15_30,47.94288400698152,16.593,726.9821,14.817404390953033,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-20,23,15_30,48.05345834357289,16.6313,728.6588,14.817403877763422,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-25,28,15_30,48.13244001256673,16.6586,729.8564,14.817403809443146,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-17,20,15_30,48.00606934217659,16.6149,727.9402,14.817403502249505,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-22,25,15_30,48.08505101117043,16.6422,729.1378,14.817403434478695,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-14,17,15_30,47.95868034078028,16.5985,727.2216,14.817403125993485,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-19,22,15_30,48.03766200977413,16.6258,728.4192,14.817403058774442,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-24,27,15_30,48.11664367876797,16.6532,729.6169,14.817402991776078,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-16,19,15_30,47.99027300837782,16.6094,727.7006,14.817402682328197,entity_key_x_horizon_bucket,False
NAM-TDF,2026-05-21,24,15_30,48.06925467737166,16.6368,728.8983,14.817402615882314,entity_key_x_horizon_bucket,False
