entity_key,date,forecast_value,model_version,forecast_horizon_day,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95,interval_available,interval_calibration_grain,interval_calibration_sample_size,interval_horizon_bucket,interval_unavailable_reason
APC-Dedicated,2026-04-28,29.104001000000004,FixedGrowth1%,1,0.0,77.487493,0.0,902.386684,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-04-29,29.11344191893224,FixedGrowth1%,2,0.0,77.496934,0.0,902.396125,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-04-30,29.12288283786448,FixedGrowth1%,3,0.0,77.506375,0.0,902.405566,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-05-01,29.13232375679672,FixedGrowth1%,4,0.0,77.515816,0.0,902.415007,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-05-02,29.14176467572896,FixedGrowth1%,5,0.0,77.525256,0.0,902.424448,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-05-03,29.1512055946612,FixedGrowth1%,6,0.0,77.534697,0.0,902.433889,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-05-04,29.160646513593434,FixedGrowth1%,7,0.0,77.544138,0.0,902.44333,True,entity_key_x_horizon_bucket,1092,1_7,
APC-Dedicated,2026-05-05,29.17008743252568,FixedGrowth1%,8,0.0,206.133897,0.0,1245.040354,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-06,29.17952835145791,FixedGrowth1%,9,0.0,206.143338,0.0,1245.049795,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-07,29.18896927039015,FixedGrowth1%,10,0.0,206.152779,0.0,1245.059236,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-08,29.198410189322384,FixedGrowth1%,11,0.0,206.162219,0.0,1245.068677,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-09,29.207851108254623,FixedGrowth1%,12,0.0,206.17166,0.0,1245.078118,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-10,29.21729202718686,FixedGrowth1%,13,0.0,206.181101,0.0,1245.087559,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-11,29.2267329461191,FixedGrowth1%,14,0.0,206.190542,0.0,1245.097,True,entity_key_x_horizon_bucket,1092,8_14,
APC-Dedicated,2026-05-12,29.23617386505133,FixedGrowth1%,15,0.0,411.961041,0.0,1575.25045,True,entity_key_x_horizon_bucket,2496,15_30,
APC-Dedicated,2026-05-28,29.38722856796715,FixedGrowth1%,31,,,,,False,,,,outside_calibrated_horizon_1_30
APC-Dedicated,2026-05-29,29.396669486899388,FixedGrowth1%,32,,,,,False,,,,outside_calibrated_horizon_1_30
APC-Dedicated,2026-05-30,29.406110405831623,FixedGrowth1%,33,,,,,False,,,,outside_calibrated_horizon_1_30
APC-Dedicated,2026-05-31,29.415551324763864,FixedGrowth1%,34,,,,,False,,,,outside_calibrated_horizon_1_30
APC-Dedicated,2026-06-01,29.424992243696103,FixedGrowth1%,35,,,,,False,,,,outside_calibrated_horizon_1_30
