"check_id","check","observed","result"
"A1","app sources without fatal error","","PASS"
"A2","app_ui() builds","","PASS"
"A3_v24_overview","section present in UI: v24_overview","","PASS"
"A3_v24_viewer","section present in UI: v24_viewer","","PASS"
"A3_v24_forecast","section present in UI: v24_forecast","","PASS"
"A3_v24_taxonomy","section present in UI: v24_taxonomy","","PASS"
"A4_section_v24_overview","section_v24_overview builds","","PASS"
"A4_section_v24_viewer","section_v24_viewer builds","","PASS"
"A4_section_v24_forecast","section_v24_forecast builds","","PASS"
"A4_section_v24_taxonomy","section_v24_taxonomy builds","","PASS"
"B1","loader validation all PASS","35/35","PASS"
"B2","nav_contract 140 rows","140","PASS"
"B3","tax_counts 192 rows","192","PASS"
"B4","forecast_outputs 63000 rows","63000","PASS"
"B5","model_rankings 2100 rows","2100","PASS"
"C1","no '4-year' claim in UI","","PASS"
"C2","no '1,440' / '1440' horizon claim in UI","","PASS"
"C3","horizon label present in UI","","PASS"
"D1","no write/mutation call in V6.24 code","none","PASS"
"D2","no model/forecast call in V6.24 code","none","PASS"
"D3","no SQL call in V6.24 code","","PASS"
"D4","no hardcoded GBRP267 special case","","PASS"
"D5","no hardcoded no-signal series list","","PASS"
"D6","no mean-based tile in V6.24 code","","PASS"
"E1","governed artifacts byte-identical after load","22 files unchanged","PASS"
